﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2019-04-30 ,PB(不含商誉) 2019-04-30 ,资产负债率 2018-12-31 累计(%)
sz,="300618",寒锐钴业,有色金属,49.65,52.67,20.75,10.9,13.01,34.56,8.01,44.96
sz,="300571",平治信息,电信增值服务,45.98,33.11,35.17,25.62,26.22,26.2,10.64,37.53
sh,="600338",西藏珠峰,有色金属,42.86,71.24,66.21,22.62,26.31,21.81,7.74,54.66
sh,="600309",万华化学,化学原料,36.82,50.66,28.11,14.67,24.17,15.39,3.58,48.97
sh,="600340",华夏幸福,住宅地产开发和管理,35.19,31.4,29.54,42.07,42.83,8.27,2.57,86.65
sh,="600566",济川药业,中药,34.74,31.78,29.95,28.57,26.2,18.16,5.16,30
sh,="603868",飞科电器,家用电器,34.46,38.42,34.3,55.23,53.35,22.98,6.34,29.58
sh,="600519",贵州茅台,饮料,34.46,32.95,24.44,26.23,31.96,31.88,9.86,26.55
sz,="002841",视源股份,电子元器件,34.1,31.46,74.94,54.65,52.11,50.91,14.06,49.66
sz,="000895",双汇发展,食品,34.06,31.4,28.33,27.24,28.6,18.89,7.37,37.36
sz,="002415",海康威视,电子设备及服务,33.99,34.96,34.56,35.28,36.27,28.66,7.83,40.2
sz,="000651",格力电器,家用电器,33.36,37.44,30.41,27.31,35.23,12.61,3.58,63.1
sh,="603288",海天味业,食品,32.66,31.12,32,32,33,55.16,15.74,31.06
sh,="603658",安图生物,生物科技,32.2,27.68,32.22,46.36,49.97,48.5,14.47,26
sz,="300577",开润股份,纺织品,30.68,19.98,37.04,37.47,31.67,46.94,13,51.86
sz,="002507",涪陵榨菜,食品,30.08,23.76,17.56,12.85,12.12,33.4,8.75,17.03
sh,="600585",海螺水泥,建筑材料,29.66,19.12,11.59,11.03,18.47,6.81,1.79,22.15
sz,="002372",伟星新材,建筑产品,29.45,28.19,26.15,21.46,19.12,27.35,6.89,20.74
sz,="002677",浙江美大,家用电器,29.28,25.73,18.5,15.32,14.62,24.26,8.02,23.34
sz,="300567",精测电子,电子设备及服务,28.91,21.08,33.71,37.57,34.74,41.64,10.06,53.9
sz,="002032",苏泊尔,耐用家居用品,28.84,26.87,22.79,21.9,19.63,35.38,8.66,44.45
sh,="603568",伟明环保,商业用品与服务,28.74,24.24,18.23,21.48,25.53,24.34,6.07,46.23
sh,="600398",海澜之家,服装与配饰,28.7,32.51,34.64,40.02,40.63,12.33,3.05,55.75
