﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2017-04-30 ,PB(不含商誉) 2017-04-30 ,资产负债率 2016-12-31 累计(%)
sz,="000423",东阿阿胶,中药,25.8,26.82,24.1,24.78,24.81,24.78,5.16,15.71
sz,="002773",康弘药业,中药,25.74,20.21,18.41,19.34,18.51,57.01,9.96,22.7
sh,="603808",歌力思,服装与配饰,25.71,28.24,12.29,13.07,21.12,41.88,5.64,29.6
sz,="002728",特一药业,化学制剂,25.67,31.54,11.21,10.53,15.71,53.34,15.02,44.7
sz,="002777",久远银海,互联网软件与服务,25.65,26.26,17.62,25.74,22.69,82.25,12.54,53.67
sh,="603388",元成股份,建筑与工程,25.64,31.34,13.78,14.64,18.59,59.77,5.24,53.54
sh,="600885",宏发股份,电气部件与设备,25.6,28.06,18.13,16.64,18.02,34.82,5.83,30.2
sz,="002717",岭南股份,建筑与工程,25.58,28.63,12.87,19.87,17.74,43.66,6.07,50.12
sz,="300501",海顺新材,容器与包装,25.47,23.04,12.74,23.99,26.27,56.48,5.95,13.08
sz,="002856",美芝股份,建筑与工程,25.38,39.25,16.65,17.19,17.14,65.62,5.47,68.85
sz,="002271",东方雨虹,建筑材料,25.36,16.19,23.17,19.61,25.32,25.41,4.84,43.7
sh,="603569",长久物流,物流,25.33,24.44,28.49,35.65,36.06,52.58,7.96,48.34
sz,="300606",金太阳,纸类与林业产品,25.27,24.68,18.07,17.2,18.41,71.12,7.75,23.09
sh,="603886",元祖股份,食品,25.24,50.41,26.8,28.48,22.31,53.89,5.75,40.05
sz,="300536",农尚环境,建筑与工程,25.22,41.32,15.19,19.5,21.5,72.55,7.13,38.02
sz,="300394",天孚通信,通信设备,25.2,30.95,17.04,17.4,31.08,42.59,6.91,7.22
sz,="002038",双鹭药业,生物科技,25.16,26.16,12.06,17.04,24.38,45.98,4.31,3.7
sz,="000963",华东医药,药品流通,25.15,26.64,22.19,42.98,30.34,28.46,5.54,47.14
sz,="002801",微光股份,电气部件与设备,25.15,27.45,17.21,22.17,23.4,62.76,7.42,11.45
sz,="300551",古鳌科技,电子设备及服务,25.11,16.91,11.68,20.5,28.8,111.26,6.8,26.99
sh,="603738",泰晶科技,电子设备及服务,25.05,27.58,17.26,20.52,22.79,71.95,7.41,13.98
sh,="601997",贵阳银行,银行,24.91,27.45,21.67,26.37,26.44,9.96,1.71,94.09
sh,="603906",龙蟠科技,化学制品,24.87,56.62,14.9,10.94,18.33,55.95,3.35,36.71
sh,="603189",网达软件,计算机软件,24.85,30.8,15.49,23.02,22.76,100.95,7.16,6.23
sz,="300537",广信材料,化学制品,24.82,29.02,12.87,18.72,20.73,101.41,8.32,17.73
sh,="603306",华懋科技,汽车零配件与设备,24.8,17.82,22.33,17.47,21.06,26.19,5,17.3
sz,="002116",中国海诚,建筑与工程,24.73,20.98,11.91,23.13,25.12,34.71,4.67,69.58
sz,="300547",川环科技,汽车零配件与设备,24.62,27,21.29,24.56,23.73,52.36,6.82,25.82
sz,="300575",中旗股份,农用化工,24.59,24.89,15.36,22.16,22.89,48.07,4.66,36.99
sz,="300396",迪瑞医疗,医疗保健设备与用品,24.46,28.67,12.01,11.36,18.28,46.14,7.44,25.95
sh,="603038",华立股份,化学制品,24.42,27.4,20.62,16.66,20.48,44.52,3.95,31.12
sz,="002065",东华软件,计算机软件,24.36,22.7,10.13,15.28,20.74,47.89,4.44,28.34
sh,="600694",大商股份,百货商店,24.2,24.57,10.53,10.66,21.62,16.99,1.64,60.53
sz,="002849",威星智能,电气部件与设备,24.11,17.27,20.6,16.45,24.12,91.59,8.33,40.66
sz,="002706",良信电器,电气部件与设备,24.09,28.26,12.02,14.9,13.79,48.26,4.5,17.87
sz,="300017",网宿科技,互联网软件与服务,23.96,12.69,21.52,40.96,35.3,29.33,4.72,15.08
sz,="002809",红墙股份,建筑材料,23.94,22.22,11.23,21.38,25.86,66.64,4.74,13.04
sz,="300477",合纵科技,重型电气设备,23.9,27.54,11.13,15.32,19.4,54.19,5.24,56.14
sh,="603630",拉芳家化,个人用品,23.86,31.84,19.53,22.68,24.69,53.67,4.76,22.21
sh,="600153",建发股份,工业贸易经销商,23.83,23.78,14.08,14.54,16.2,13.89,1.62,74.19
sz,="000858",五粮液,饮料,23.71,36.82,15.01,14.93,15.42,23.29,3.41,22.47
sz,="002775",文科园林,建筑与工程,23.69,26.8,11.7,11.8,18.12,40.89,4.54,43.44
sh,="603208",江山欧派,纸类与林业产品,23.69,21,27.61,29.8,23.59,41.21,4.99,47.71
sz,="000062",深圳华强,电子设备及服务,23.67,17.14,11.24,14.34,22.56,39.44,6.13,41.03
sz,="300530",达志科技,化学制品,23.64,27.28,14.26,16.18,19.17,85.8,7.51,5.56
sh,="603031",安德利,百货商店,23.64,26.96,10.72,14.69,13.36,87.24,5.5,61.35
sh,="603889",新澳股份,纺织品,23.58,22.67,14.3,13.1,23.28,31.27,4.39,27.03
sz,="300520",科大国创,互联网软件与服务,23.5,29.27,15.11,18.31,16.15,126.52,10.2,49.04
sz,="002830",名雕股份,建筑与工程,23.49,26.33,15.85,16.9,19.94,83.41,7.6,39.21
sz,="002732",燕塘乳业,食品,23.49,28.04,13.06,12.8,20.21,42.21,5.32,24.74
sh,="603977",国泰集团,化学制品,23.32,17.02,15.55,17.65,22,79.41,4.74,17.02
sz,="300488",恒锋工具,通用机械,23.31,35.46,11.75,14.62,22.2,58.29,5.65,5.91
sz,="000786",北新建材,建筑材料,23.28,20.69,13.75,11.95,21.24,22.41,2.58,27.08
sz,="002262",恩华药业,化学制剂,23.26,22.7,15.88,18.13,23.77,43.62,6.28,28.61
sh,="600016",民生银行,银行,23.23,25.24,15.13,16.98,20.41,5.94,0.83,94.03
sz,="300395",菲利华,非金属材料与制品,23.18,25.31,14.23,12.38,16.45,41.9,6.48,21.13
sz,="300376",易事特,电气部件与设备,23.15,22.36,20.31,23.11,17.38,59.54,6.41,59.51
sh,="600887",伊利股份,食品,23.15,25.97,26.58,23.87,23.66,24.52,4.81,40.82
sh,="603568",伟明环保,商业用品与服务,23.14,19.05,18.23,21.48,25.53,47.35,7.85,42.97
sh,="600036",招商银行,银行,23.12,24.78,16.27,17.09,19.28,7.69,1.17,93.21
sz,="002866",传艺科技,电子元器件,23.12,15.58,26.41,23.8,26.82,35.87,3.78,25.37
sh,="603901",永创智能,专用设备,23.09,26.34,10.35,11.97,20.2,72.64,5.75,47.38
sh,="603007",花王股份,建筑与工程,23.08,30.67,12.86,18.41,18.28,68.28,7.4,44.71
sh,="603298",杭叉集团,专用设备,23.07,19.88,19.95,19.9,25.33,42.05,4.76,23.88
sz,="300541",先进数通,信息技术服务,23,27.89,13.19,19.37,20.57,80,6.03,33.96
sz,="300387",富邦股份,化学原料,22.98,26.77,12.63,10.7,10.74,33.97,8.18,39.67
sh,="600048",保利地产,住宅地产开发和管理,22.95,21.84,15.53,18.63,21.65,9.11,1.25,74.76
sh,="603178",圣龙股份,汽车零配件与设备,22.94,27.1,21.5,22.51,27.67,70.25,6.06,71.17
sz,="002857",三晖电气,电气部件与设备,22.87,18.98,18.86,21.42,25.6,83.58,8.03,28.64
sh,="603165",荣晟环保,纸类与林业产品,22.83,25.55,36.08,24.49,21.8,36.96,8.54,52.85
sz,="300523",辰安科技,互联网软件与服务,22.8,21.64,15.22,27.59,15.3,104.38,8.06,30.59
sh,="600066",宇通客车,汽车,22.8,25.86,31.24,30.19,25.54,12.27,3.21,61.09
sz,="002241",歌尔股份,电子元器件,22.75,21.51,16.3,14.08,23.29,31.25,5.06,52.65
sz,="300572",安车检测,电子设备及服务,22.75,26.55,16.61,18.15,18.89,67.19,6.27,42.1
sh,="603660",苏州科达,家用电器,22.7,25.51,23.98,21.34,11.05,44,7.57,24.55
sh,="603877",太平鸟,服装与配饰,22.62,12.17,23.29,34.63,36.86,43.69,4.83,58.03
sz,="002041",登海种业,农牧渔产品,22.6,20.81,17.93,17.35,20.84,33.02,4.37,18.05
sh,="603238",诺邦股份,纺织品,22.6,20.83,16.71,25.62,26.21,89.22,5.33,22.64
sz,="300412",迦南科技,专用设备,22.54,29.29,11.94,13.81,22.86,67.04,5.27,24.32
sh,="603986",兆易创新,半导体,22.51,29.28,21.18,31.92,25.78,110.29,14.76,23.39
sz,="300592",华凯创意,商业用品与服务,22.5,17.35,12.82,13.47,18.72,99.06,7.05,54.9
sz,="300445",康斯特,电子设备及服务,22.46,22.69,11.32,14.27,21.77,87.28,9.36,13.61
sz,="002867",周大生,服装与配饰,22.42,31.53,28.09,26.49,27.54,34.58,4.61,32.04
sh,="603878",武进不锈,黑色金属,22.41,17.9,10.09,12.77,15.41,43.61,2.78,16.55
sh,="603920",世运电路,电子元器件,22.4,22.37,32.63,21.8,21.38,39.86,4.58,36.5
sh,="601166",兴业银行,银行,22.39,26.65,17.28,18.89,21.21,6.19,0.94,94.18
sh,="603339",四方科技,通用机械,22.37,25.53,11.83,19.11,24.69,50.41,4.88,15
sz,="002817",黄山胶囊,化学制剂,22.33,27.65,13.58,18.36,20.21,87.72,6.07,9.78
sz,="002768",国恩股份,化学制品,22.33,24.77,17.04,13.95,21.68,46.88,7.18,46.34
sz,="300584",海辰药业,化学制剂,22.3,40.61,17.77,18.53,18.69,68.62,6.71,25.53
sz,="002860",星帅尔,电气部件与设备,22.24,15.94,24.34,23.38,28,60.16,6.97,20.18
sz,="300532",今天国际,信息技术服务,22.22,28,10.98,17.73,24.19,89.25,5.93,36.91
sh,="603589",口子窖,饮料,22.21,31.62,19.81,20.55,20.07,24.84,4.44,25.47
sz,="300026",红日药业,中药,22.17,20.65,11.84,20.37,21.72,24.35,3.18,17.07
sh,="603818",曲美家居,耐用家居用品,22.13,20.7,14.24,11.71,16.95,47.25,6.12,21.98
sz,="300546",雄帝科技,电子设备及服务,22.11,24.04,16.39,21.19,20.85,67.3,7.91,19.55
sh,="603611",诺力股份,通用机械,22.08,22.28,15.84,13.34,18.41,39.91,4.84,46.77
sh,="603883",老百姓,药品流通,22.03,21.27,14.06,13.65,22.91,40.95,18.55,60.38
sz,="000915",山大华特,化学制剂,21.97,21.24,16.62,14.75,25.05,33.25,5.86,21.47
sh,="600081",东风科技,汽车零配件与设备,21.97,14.42,10.47,14.74,22.11,36.82,3.65,64.92
