﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2008-12-31 累计(%),归属于母公司普通股股东的加权ROE 2007-12-31 累计(%),归属于母公司普通股股东的加权ROE 2005-12-31 累计(%),归属于母公司普通股股东的加权ROE 2006-12-31 累计(%),归属于母公司普通股股东的加权ROE 2009-12-31 累计(%),PE-TTM(扣非) 2010-04-30 ,PB(不含商誉) 2010-04-30 ,资产负债率 2009-12-31 累计(%)
sh,="900948",伊泰B股,,59.49,55.75,50.09,37.27,36.93,7.03,2.82,53.04
sz,="000792",*ST盐湖,农用化工,51.46,44.14,34.24,44.33,40.84,32.34,11.78,46.07
sz,="000933",神火股份,有色金属,46.62,51.7,29.35,23.8,18.64,24.09,6,75.81
sz,="000983",西山煤电,煤炭,44.43,19.48,23.3,20.13,23.99,38.01,7.25,51.37
sz,="000937",冀中能源,煤炭,41.76,16.79,21.41,15.79,18.32,19.36,2.63,51.52
sh,="601699",潞安环能,煤炭,41.73,23.87,47.84,38.57,21.22,21.45,4.48,55.9
sh,="600202",哈空调,重型电气设备,40.56,41.93,22.19,22.58,14.6,56.52,5.81,63.9
sh,="600519",贵州茅台,饮料,39.01,39.3,23.99,27.67,33.55,27.94,7.74,25.89
sh,="600150",中国船舶,专用设备,38.22,50.54,20.48,28.8,19.3,17.8,2.89,64.37
sz,="002242",九阳股份,家用电器,37.53,68.22,70.07,45.37,24.98,25.64,4.87,29.47
sh,="601001",大同煤业,煤炭,37.26,13.78,32.79,20.34,20.2,25.08,3.61,29.61
sh,="600123",兰花科创,煤炭,37.2,18.99,29.32,30.5,27.5,15.29,3.67,49.34
sh,="600000",浦发银行,银行,36.71,20.1,17.21,19.37,25.86,12.74,2.52,95.8
sz,="000157",中联重科,专用设备,35.91,45,19.12,24.53,38.12,14.73,3.52,77.41
sh,="600309",万华化学,化学原料,35.74,45.73,41.13,38.81,22.56,34.49,6.34,39.71
sz,="200771",杭汽轮B,,34.22,30.66,47.7,42.37,27.7,9.95,2.33,44.47
sh,="601666",平煤股份,煤炭,32.83,19.86,41.98,33.22,17.71,24.66,4.17,49.41
sh,="600582",天地科技,专用设备,31.72,34.96,18.16,28.35,32.84,28.91,6.42,49.87
sh,="600547",山东黄金,有色金属,31.7,25.91,13.6,19.43,29.11,59.7,16.88,49.09
sz,="002024",苏宁易购,专营零售,31.6,37.66,35.04,33.87,28.44,23.94,5.16,58.36
sh,="600685",中船防务,专用设备,31.58,52.17,12.93,30.77,17.42,20.17,3.2,66.78
sz,="002128",露天煤业,煤炭,31.22,28.57,67.59,44.29,35.15,28.16,7.53,28.6
sz,="002022",科华生物,生物科技,31.03,28.64,17.31,21.26,30.28,45.96,11.28,14.37
sh,="600508",上海能源,煤炭,30.87,19.18,20.63,20.22,21.77,15.9,3.32,41.23
sz,="000651",格力电器,家用电器,30.36,31.94,20.04,21.92,33.48,14.83,3.89,79.33
sh,="600348",阳泉煤业,煤炭,30.23,15.21,23.94,24.19,29.12,22.73,6.43,63.21
sz,="000538",云南白药,中药,29.4,28.18,30.91,29.32,17.98,54.48,9.41,39.56
sh,="600550",保变电气,重型电气设备,29.29,20.39,10.3,14.1,15.63,61.36,7.21,69.73
sh,="600970",中材国际,专用设备,28.97,28.23,15.47,16.44,43.49,17.13,6.65,86.97
sz,="002244",滨江集团,住宅地产开发和管理,28.75,54.45,35.36,50.49,20.61,19.26,4.35,77.93
sz,="002152",广电运通,电脑与外围设备,28.19,43.78,30.13,47.31,26.02,28.15,6.06,24.5
sz,="002122",*ST天马,通用机械,28.08,20.8,51.54,63.23,16.68,26.01,3.58,31.12
sz,="002202",金风科技,重型电气设备,27.72,74.98,70.9,70.17,39.56,27.41,9.84,62.86
sh,="600066",宇通客车,汽车,27.72,19.25,15.32,18.22,29.27,16.13,4.31,60.53
sh,="600036",招商银行,银行,27.41,24.76,17.51,18.49,21.18,15.74,2.83,95.51
sz,="002266",浙富控股,重型电气设备,27.36,64.32,47.12,79.17,14.73,34.67,4.08,43.45
sz,="002217",合力泰,光电子器件,27.31,35.97,70.61,39.33,11.21,35.4,3.26,32.94
sz,="002273",水晶光电,光电子器件,26.15,55.98,54.1,50.5,14.41,60.49,9.49,8.7
sh,="601166",兴业银行,银行,26.06,25.34,22.25,25.87,24.54,10.84,2.52,95.53
sz,="002153",石基信息,计算机软件,25.95,35.48,39.08,43.11,19.52,67.51,13.77,14.25
sh,="600583",海油工程,能源设备与服务,25.81,30.87,28.31,27.95,11.46,28.51,3.03,44.85
sh,="600511",国药股份,药品流通,25.46,21.06,10.63,16.07,24.53,53.42,11.11,61
sz,="000552",靖远煤电,煤炭,25.38,18.06,41.6,23.55,12.66,71.92,6.13,30.21
sz,="000963",华东医药,药品流通,25.31,33.94,11.35,17.8,40.2,28.19,9.39,64.77
sh,="600845",宝信软件,计算机软件,25.08,23.21,15.55,18.3,23.27,43.02,7.75,51.06
sh,="900926",宝信B,,25.08,23.21,15.55,18.3,23.27,16.97,3.06,51.06
sh,="601899",紫金矿业,有色金属,25,58.21,32.32,56.28,20.7,30.45,6.13,27.1
sh,="600997",开滦股份,煤炭,24.45,22.37,19.04,19.29,17.87,31.99,4.97,56.93
sz,="200022",深赤湾B,,24.35,27.83,28.97,28.38,15.08,14.87,2.28,38.12
sz,="000022",深赤湾A,,24.35,27.83,28.97,28.38,15.08,20.02,3.07,38.12
sz,="000987",越秀金控,证券,24.31,20.82,13.31,17.63,23.51,31.52,6.54,41.58
sz,="002261",拓维信息,互联网软件与服务,24.1,44.33,41.45,45.31,15.1,51.79,6.76,9.74
sz,="002267",陕天然气,石油天然气,24.05,41.89,33.74,37.6,16.98,23.78,3.84,27.36
sh,="601918",新集能源,煤炭,23.85,13.34,17.49,18.64,14.24,34.84,3.96,62.79
sz,="002237",恒邦股份,有色金属,23.75,41.12,33.06,28.39,12.98,63.42,6.47,59.56
sh,="900950",新城B股,,23.67,34.06,43.65,37.25,23.84,11.89,1.96,81.87
sz,="002050",三花智控,通用机械,23.6,11.57,22.22,11.26,19.83,23.75,4.72,42.2
sz,="002241",歌尔股份,电子元器件,23.19,49.84,21.37,33.33,11.88,87.35,11.1,48.25
sz,="002062",宏润建设,建筑与工程,23.17,17.9,21.37,17.83,22.35,18.4,3.61,71.93
sz,="002272",川润股份,通用机械,23.04,33,29.46,32.96,14.28,49.1,3.91,47.15
sh,="600557",康缘药业,中药,22.96,18.87,11.25,13.92,15.54,50.94,7.05,25.41
sh,="600276",恒瑞医药,化学制剂,22.87,28.23,15.61,17.59,28.61,52.07,11.59,11.13
sz,="002252",上海莱士,生物科技,22.69,43.52,24.42,27.31,18.5,48.46,8.53,7.5
sz,="002255",海陆重工,通用机械,22.3,45,43.31,39.75,16.48,53,5.33,44.14
sz,="002007",华兰生物,生物科技,22.09,19.75,10.28,14.84,43.29,33.66,13.86,7.74
sz,="000423",东阿阿胶,中药,21.85,17.84,10.52,14.06,21.12,44.92,8.44,21.1
sz,="002081",金螳螂,建筑与工程,21.72,16.71,36.22,31.8,23.93,39.47,10.14,66.12
sh,="600486",扬农化工,农用化工,21.49,15.8,11.35,11.49,13.86,29.26,2.75,37.46
sz,="002073",软控股份,专用设备,21.12,15.06,30.01,22.58,17.25,42.47,5.4,27.1
sh,="600729",重庆百货,百货商店,21.11,14.96,13.34,13.55,17.76,50.1,8.5,64.88
sz,="000951",中国重汽,专用设备,20.98,43.25,32.31,30.07,15.82,18.52,3.32,80.31
sh,="600971",恒源煤电,煤炭,20.86,15.69,22.54,20.99,16.63,25.73,3.87,71.36
sh,="601328",交通银行,银行,20.86,17.17,15,14,19.26,10.79,2,95.03
sh,="600033",福建高速,交通基本设施,20.82,18.04,13.2,14.83,16.01,18.49,1.82,33.95
sz,="000726",鲁泰A,纺织品,20.8,21.71,18.76,18.13,15.3,15.56,2.36,33.56
sz,="200726",鲁泰B,,20.8,21.71,18.76,18.13,15.3,9.5,1.44,33.56
sz,="002264",新华都,食品与主要用品零售,20.79,51.35,33.52,35.24,13.25,37.37,5.75,62.14
sz,="002154",报喜鸟,服装与配饰,20.75,27.07,21.89,25.57,25.35,33.97,3.9,19.83
sz,="002091",江苏国泰,工业贸易经销商,20.73,14.73,24.04,24.61,20.55,50.72,9.95,37.65
sz,="000550",江铃汽车,汽车,20.7,23.15,18.4,20.42,23.74,14.45,3.68,40.36
sz,="200550",江铃B,,20.7,23.15,18.4,20.42,23.74,8.84,2.25,40.36
sh,="601939",建设银行,银行,20.68,19.5,21.75,15,20.87,10.72,2.08,94.19
sz,="001696",宗申动力,汽车,20.61,34.09,32.08,30.22,24.35,28.53,5.88,26.97
sh,="600161",天坛生物,生物科技,20.46,17.08,10.29,15.52,23.29,70.04,14.86,56.08
