﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2003-12-31 累计(%),归属于母公司普通股股东的加权ROE 2002-12-31 累计(%),归属于母公司普通股股东的加权ROE 2005-12-31 累计(%),归属于母公司普通股股东的加权ROE 2001-12-31 累计(%),归属于母公司普通股股东的加权ROE 2004-12-31 累计(%),PE-TTM(扣非) 2006-04-30 ,PB(不含商誉) 2006-04-30 ,资产负债率 2005-12-31 累计(%)
sz,="001696",宗申动力,汽车,58.74,24.48,32.08,62.34,37.25,8.04,2.34,53.8
sz,="002024",苏宁易购,专营零售,49.42,46.25,35.04,32.83,36,32.72,9.88,71.39
sz,="002032",苏泊尔,耐用家居用品,44.95,42.15,10.06,29.07,17,21.26,2.14,40.07
sz,="002022",科华生物,生物科技,38.42,36.86,17.31,37.69,21.32,27.77,5.12,16.7
sz,="002035",华帝股份,耐用家居用品,37.85,32.12,10.4,25.86,15.08,17.1,1.76,49.21
sz,="002028",思源电气,重型电气设备,36.48,28.32,20.99,40.09,22.14,22.05,3.95,41.59
sh,="600143",金发科技,化学制品,33.74,39.49,18.41,21.2,18.52,19.31,3.26,52.28
sh,="600594",益佰制药,中药,33.48,43.23,12.9,52.62,13.58,17.28,2.21,54.39
sz,="002004",华邦健康,农用化工,33.1,36.27,12.98,45.86,17.93,16.97,2.3,7.78
sz,="000662",天夏智慧,互联网软件与服务,32.77,20.2,23.03,46.06,26.16,11.89,2.14,45.98
sz,="002008",大族激光,电子设备及服务,32.33,41.61,14.17,51.42,17.38,58.12,5.91,36.66
sz,="002027",分众传媒,传媒,32.29,34.74,14.42,21.5,21.82,18.96,2.64,52.39
sz,="002014",永新股份,容器与包装,32.17,32,13.02,25.9,18.69,15.02,1.86,26.04
sz,="000088",盐田港,交通基本设施,32.12,31.35,19.83,23.52,20.06,13.48,2.67,7.37
sz,="002007",华兰生物,生物科技,31.71,36.24,10.28,28.12,13.13,25.94,3.01,21.31
sz,="002029",七匹狼,服装与配饰,30.98,27.76,11.5,24.51,15.9,24.94,2.91,18.29
sh,="600660",福耀玻璃,汽车零配件与设备,30.9,28.4,19.5,28.4,23.5,17.4,2.85,66.26
sh,="600309",万华化学,化学原料,26.2,21.11,41.13,15.46,36.2,21.71,7.11,60.08
sz,="002021",*ST中捷,专用设备,26.09,41.54,13.21,44.48,14.09,20.7,2.24,62.24
sh,="600978",宜华生活,耐用家居用品,25.63,26.56,13.41,14.02,25.92,14.34,1.88,45.7
sz,="002031",巨轮智能,专用设备,25.29,28.01,12,33.11,20.65,20.82,2.26,35.98
sh,="600971",恒源煤电,煤炭,25.27,31.92,22.54,30.96,33.19,8.15,1.88,33
sz,="002015",协鑫能科,纺织品,25.14,22.03,10.31,22.91,14.16,22.27,2.3,54.04
sh,="600352",浙江龙盛,化学制品,25.09,37.15,17.65,22.37,18.05,12.48,1.9,50.46
sh,="600282",南钢股份,黑色金属,24.2,14.12,12.21,12.9,22.31,12.07,0.85,57.5
sh,="600232",金鹰股份,纺织品,23.59,13.88,13.43,12.66,20.11,10.82,1.25,46.58
sh,="600970",中材国际,专用设备,22.38,22.76,15.47,25.35,28.96,51.73,5.52,80.93
sz,="000778",新兴铸管,黑色金属,22.15,19.76,15.53,21.27,19.85,8.28,1.03,55.13
sh,="600307",酒钢宏兴,黑色金属,22.14,10.39,14.17,12.89,24.07,7.64,0.7,45.16
sh,="600686",金龙汽车,汽车,21.68,24.94,20.82,14.04,17.05,13.69,2.56,71.73
sz,="000027",深圳能源,电力公用事业,21.49,17.77,17.31,14.59,17.73,11.22,1.73,28.39
sz,="000617",中油资本,其他金融服务,21.31,18.82,30.49,12.39,40.74,32.04,7.74,61.8
sh,="600993",马应龙,中药,21.01,20.17,10.99,20.61,13.4,23.82,2.54,22.73
sz,="000157",中联重科,专用设备,20.58,16.18,19.12,12.27,26.94,18.89,3.29,57.59
sz,="200011",深物业B,,20.46,11.76,13.11,35.79,17.41,27.7,1.89,65.25
sz,="200039",中集B,,20.42,17.86,31.5,23.67,37.39,9.47,1.87,39.73
sz,="002033",丽江旅游,酒店餐饮与休闲,20.19,34.46,13.49,32.02,21.39,22.85,3.45,12.1
sh,="600016",民生银行,银行,19.46,15.39,19.18,12.25,17.32,15.17,2.78,97.23
sz,="000531",穗恒运A,电力公用事业,19.08,12.25,13.85,10.92,18.48,10.5,1.86,46.76
sh,="600415",小商品城,房地产租赁,18.56,14.39,21.75,13,15.25,32.5,6.54,79.27
sh,="600880",博瑞传播,传媒,18.36,19.36,18.56,13.34,20.18,19.81,3.38,39.29
sh,="600497",驰宏锌锗,有色金属,17.6,14.58,19.76,14.97,13.06,21.17,5.34,69.33
sh,="600438",通威股份,农牧渔产品,17.48,26.79,17.51,35.01,10.62,22.88,4.02,47.93
sh,="600348",阳泉煤业,煤炭,17.38,27.68,23.94,19.05,16.74,11.42,2.54,52.39
sh,="600270",外运发展,,17.31,16.37,18.05,15.45,18.47,18.11,3,33.29
sz,="000069",华侨城A,酒店餐饮与休闲,17.3,24.16,20.92,17.91,21.02,32.98,5.91,43.89
sz,="000651",格力电器,家用电器,16.86,16.74,20.04,15.6,18.34,11.05,2.04,77.84
sh,="600418",江淮汽车,汽车,16.76,12.09,24.68,16.65,22.98,8.83,1.57,41.81
sh,="600011",华能国际,电力公用事业,16.61,14,12.6,14.8,15.08,11,1.4,53.64
sz,="000063",中兴通讯,通信设备,16.05,13.82,12.4,17.17,19.41,23.79,2.39,51.35
sh,="600845",宝信软件,计算机软件,16,18.19,15.55,17.27,14.07,55.08,8.18,48.73
sh,="900926",宝信B,,16,18.19,15.55,17.27,14.07,19.4,2.87,48.73
sh,="600085",同仁堂,中药,15.56,18.26,13.45,16.74,16.24,23.47,2.73,24.23
sh,="600087",退市长油,,15.5,14.36,17.11,13.97,13.69,8.03,1.36,31.94
sh,="600469",风神股份,汽车零配件与设备,15.4,12.5,15.18,12.14,10.94,11.43,1.41,69.85
sh,="600367",红星发展,化学原料,15.18,15.91,14.04,16.63,15.3,14.94,1.81,23.47
sz,="000939",*ST凯迪,电力公用事业,14.76,17.12,13.66,14.34,15.11,22.28,2.6,68.41
sh,="600096",云天化,农用化工,14.53,12.08,28.25,13.63,28.53,7.16,2,48.78
sh,="600717",天津港,交通基本设施,14.35,17.14,21.01,17.83,10.95,22.69,2.08,27.24
sz,="000959",首钢股份,黑色金属,14.33,12.8,12.87,13.61,18.08,9.32,1.06,59.02
sh,="600583",海油工程,能源设备与服务,14.25,11.25,28.31,27,22.53,24.87,6.04,32.61
sh,="600995",文山电力,电力公用事业,14.16,15.26,14.32,17.76,11.4,17.86,2.64,47.09
sh,="600642",申能股份,电力公用事业,14.03,14.92,14.46,21.96,13.39,11.13,1.49,35.63
