﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2010-12-31 累计(%),归属于母公司普通股股东的加权ROE 2009-12-31 累计(%),PE-TTM(扣非) 2014-04-30 ,PB(不含商誉) 2014-04-30 ,资产负债率 2013-12-31 累计(%)
sh,="603288",海天味业,食品,45,38,35,29,33,31.33,8.14,41.77
sh,="603699",纽威股份,通用机械,40.3,29.36,20.71,12.19,38.9,27.83,5.97,55.33
sh,="600519",贵州茅台,饮料,39.43,45,40.39,30.91,33.55,11.06,3.68,20.42
sz,="300360",炬华科技,电气部件与设备,38.57,42.96,38.78,26.93,30.11,23.59,5.98,44.06
sz,="000540",中天金融,住宅地产开发和管理,37.79,18.53,26.89,38.08,46.53,6.5,1.79,89.98
sh,="600816",安信信托,投资信托,37.4,18.67,46.05,33.12,22.9,15.52,6.09,45.97
sz,="000848",承德露露,饮料,36.53,28.06,26.25,23.92,22.64,23.66,7.15,44.61
sz,="300382",斯莱克,专用设备,35.97,50.93,56.49,53.93,70.74,32.23,5.37,43.6
sz,="002718",友邦吊顶,建筑产品,35.83,34,48.64,72.52,82.16,26.97,5.13,15.64
sz,="000651",格力电器,家用电器,35.77,31.38,34,36.51,33.48,8.36,2.46,73.47
sz,="002707",众信旅游,酒店餐饮与休闲,35.4,35.83,35.97,41,27.15,41.86,8.22,57
sz,="002236",大华股份,电子设备及服务,35.09,38.51,28.36,26.4,15.1,28.19,7.51,30.75
sz,="300358",楚天科技,专用设备,34.8,31.15,36.44,57.47,52.93,30.49,5.03,57.7
sh,="601633",长城汽车,汽车,33.41,29.88,27.83,30.76,14.03,12.28,3.33,46.76
sh,="603555",贵人鸟,服装与配饰,33.34,50.26,55.11,76.1,56.07,17.92,2.92,52.16
sz,="000568",泸州老窖,饮料,33.15,46.88,41.68,41.21,38.78,8.3,2.09,22.55
sh,="600690",海尔智家,家用电器,32.84,33.78,31.33,24.28,15.83,10.73,2.63,67.23
sh,="600309",万华化学,化学原料,32.62,31.03,27.87,27.74,22.56,12.84,3.51,62.17
sz,="300367",东方网力,电子设备及服务,32.4,34.85,34.35,36.81,83,79.11,10.98,57.34
sz,="002081",金螳螂,建筑与工程,32.36,30.8,45.3,37.36,23.93,13.4,3.85,68.53
sz,="002304",洋河股份,饮料,31.44,50.53,49.16,37.13,54.31,13.12,3.2,38.35
sh,="601877",正泰电器,电气部件与设备,31.11,24.16,18.39,17.16,44.31,15.44,4.72,48.77
sz,="002344",海宁皮城,房地产租赁,31.04,26.83,24.64,13.97,19.8,14.16,3.57,47.66
sh,="600067",冠城大通,住宅地产开发和管理,30.95,24.7,29.47,26.9,18,8.74,1.28,61.27
sz,="002415",海康威视,电子设备及服务,30.92,27.7,23.98,27.35,60.18,23.75,6.5,20.38
sz,="300371",汇中股份,电子设备及服务,30.91,32.74,44.48,62.34,39.97,36.58,5.44,15.74
sz,="002146",荣盛发展,住宅地产开发和管理,30.51,29.89,28.26,24.06,22.29,6.67,1.75,78.99
sz,="000895",双汇发展,食品,30.44,27.93,14.86,34.23,34.96,20.42,6.44,24.02
sz,="002653",海思科,化学制剂,29.8,29.84,51.09,118.48,87.95,48.28,9.83,21.58
sz,="300373",扬杰科技,半导体,29.74,28.86,37.22,60.02,30.37,44.07,6.1,27.16
sz,="300202",聚龙股份,电子设备及服务,29.52,19.34,14.22,27.8,26.46,43.96,11.27,16.13
sz,="002294",信立泰,化学制剂,29.49,27.13,20.52,20.62,32.86,21.71,5.61,13.95
sh,="601515",东风股份,商业用品与服务,29.36,31.29,55.2,59.05,61.14,18.42,4.95,24.13
sh,="600406",国电南瑞,重型电气设备,29.35,31.16,29.75,34.23,20.91,27.14,5.44,53.83
sz,="000538",云南白药,中药,28.94,25.16,24.29,23.07,17.98,29.57,6.2,29.91
sh,="600612",老凤祥,服装与配饰,28.71,24.58,28.2,21.36,14.96,15.95,3.37,58.57
sh,="900905",老凤祥B,,28.71,24.58,28.2,21.36,14.96,10.45,2.27,58.57
sz,="300365",恒华科技,计算机软件,28.65,35.01,39.09,46.68,39.45,38.81,4.7,18.41
sh,="600805",悦达投资,工业集团企业,28.49,31.56,35.41,39.08,24.65,6.33,1.32,39.43
sz,="002713",东易日盛,建筑与工程,28.38,22.95,25.15,16.19,16.1,31.92,4.31,65.1
sh,="600535",天士力,中药,28.05,20.53,17.95,21.06,16.46,35.12,9.78,59.43
sz,="002353",杰瑞股份,能源设备与服务,27.58,22.55,17.71,14.11,70.14,42.06,6.04,41.41
sz,="002022",科华生物,生物科技,27.54,24.79,24.46,27.45,30.28,39.84,10.44,11.83
sh,="900950",新城B股,,27.47,29.24,33.47,25.47,23.84,3.09,0.73,79.7
sz,="002310",东方园林,建筑与工程,27.35,30.23,29.63,21.91,28.98,20.11,3.34,57.05
sz,="300005",探路者,休闲设备与用品,27.31,24.15,19.48,11.35,22.74,28.5,6.49,29.48
sz,="002714",牧原股份,农牧渔产品,27.04,37.95,61.86,27.27,43.5,46.38,4.56,61.14
sz,="300369",绿盟科技,互联网软件与服务,26.79,30.49,42.8,54.38,55.5,57.45,7.5,36.4
sz,="000537",广宇发展,住宅地产开发和管理,26.75,27.24,37.41,19.13,17.68,9.21,1.9,50.22
sz,="300228",富瑞特装,专用设备,26.53,16.66,17.12,26.77,28.62,30.18,6.67,65.96
sz,="000661",长春高新,生物科技,26.5,38.47,18.99,18.06,18.33,38.34,9.1,39.26
sz,="300363",博腾股份,化学制剂,26.47,27.87,29.17,30.99,47.2,71.6,8.42,54.81
sh,="600660",福耀玻璃,汽车零配件与设备,26.1,23.13,26.34,35.58,29.2,8.81,2.33,46.21
sz,="200028",一致B,,26,30.51,27.52,27.17,25.99,18.31,2.34,79.05
sz,="000028",国药一致,药品流通,26,30.51,27.52,27.17,25.99,26.44,3.29,79.05
