﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sh,="603823",百合花,化学制品,14.13,10.92,20.92,23.3,14.35,25.91,3.32,28.79
sh,="603960",克来机电,专用设备,14.09,12.97,16.56,16.74,18.28,59.36,12.11,30.37
sz,="002853",皮阿诺,耐用家居用品,14.07,12.81,25.75,24.7,14.82,17.3,2.34,39.7
sh,="601939",建设银行,银行,14.04,14.8,15.44,17.27,13.33,6.66,0.86,91.22
sh,="601916",浙商银行,,14.04,14.67,16.54,17.03,13.21,7.8,0.91,93.36
sh,="688098",申联生物,,14.04,19.59,17.81,27.14,10.17,83.14,4.93,15.98
sh,="603380",易德龙,电子设备及服务,14.03,21.12,42.53,45.67,13.93,23.71,2.89,23.99
sh,="603970",中农立华,工业贸易经销商,14.01,22.63,25.48,32.52,13.64,21,2.48,69.65
sz,="300687",赛意信息,信息技术服务,13.99,22.62,36.47,36.18,11.27,40.68,4.74,23.43
sz,="300457",赢合科技,专用设备,13.97,16.08,21.72,15,11.87,29.61,3.51,43.43
sh,="603858",步长制药,中药,13.95,12.81,21.21,63.78,14.77,13.03,2.95,34.59
sz,="300640",德艺文创,耐用家居用品,13.95,16.75,41.58,34.12,17.67,33.86,4.95,22.33
sz,="002085",万丰奥威,汽车零配件与设备,13.93,15.96,20.53,23.99,10.48,29.8,2.72,52.85
sz,="002462",嘉事堂,药品流通,13.93,12.59,11.94,12.73,13.99,12.93,1.43,60.97
sh,="603617",君禾股份,通用机械,13.93,16.85,26.27,19.96,12.19,30.07,3.18,33.22
sz,="002851",麦格米特,电子设备及服务,13.92,10.06,17.27,10.25,20.72,28.14,4.91,49.51
sz,="300699",光威复材,合成纤维,13.91,12.85,15.19,15.68,17.23,43.65,6.19,18.39
sh,="603328",依顿电子,电子元器件,13.87,11.65,13,11.25,13.66,17.07,2.8,18.49
sz,="000999",华润三九,化学制剂,13.86,14.06,14.78,17.33,19.85,20.43,3.24,30.51
sz,="002051",中工国际,建筑与工程,13.85,19.24,19.55,18.87,10.73,11.3,1.11,53.07
sh,="603713",密尔克卫,物流,13.84,12.47,10.35,14.26,13.19,32.9,5.38,40.23
sh,="603669",灵康药业,化学制剂,13.83,13.07,13.55,19.45,12.69,32.18,2.85,40.05
sh,="601216",君正集团,化学原料,13.8,14.63,12.21,12.22,13.71,12.05,1.38,33.77
sz,="300718",长盛轴承,通用机械,13.8,19.78,17.4,21.29,11.63,33.02,3.18,8.07
sh,="601398",工商银行,银行,13.79,14.35,15.24,17.1,13.16,6.7,0.85,91.22
sz,="002883",中设股份,商业用品与服务,13.77,18.39,30.14,23.64,13.99,28.53,3.69,15.3
sz,="002838",道恩股份,化学制品,13.75,11.73,18.39,16.56,16.59,26.63,4.01,41.62
sz,="000902",新洋丰,农用化工,13.71,12.56,11.53,19.65,11.18,14.39,1.58,25.34
sz,="002223",鱼跃医疗,医疗保健设备与用品,13.69,11.37,14.32,18.85,14.66,26.86,3.68,18.04
sz,="300703",创源文化,休闲设备与用品,13.68,21.06,48.8,31.64,17.22,22.07,3.08,35
sz,="300371",汇中股份,电子设备及服务,13.66,11.39,10.03,13.84,15.24,22.33,2.96,10.68
sh,="601288",农业银行,银行,13.66,14.57,15.14,16.79,12.46,6,0.74,92.27
sz,="002091",江苏国泰,工业贸易经销商,13.64,11.81,19.17,14.73,13.12,11.13,1.14,53.04
sh,="600850",华东电脑,信息技术服务,13.63,14.6,15.78,22.39,12.81,33.68,4.12,57.03
sh,="688101",三达膜,,13.63,16.14,12.99,12.29,17.9,33.02,2.06,38.04
sh,="603089",正裕工业,汽车零配件与设备,13.62,10.9,24.21,20.07,14.33,18,3.11,37.82
sh,="603885",吉祥航空,航空运输,13.61,16.3,21.33,36.11,10.24,31.02,2.2,55.77
sz,="002557",洽洽食品,食品,13.61,10.74,12.26,11.94,16.19,39.25,4.75,27.5
sh,="600053",九鼎投资,投资信托,13.59,17.2,43.91,28.51,15.65,25.05,4.18,53.22
sz,="300476",胜宏科技,电子元器件,13.59,14.67,17.4,13.81,13.5,25.45,3.53,46.7
sz,="000501",鄂武商Ａ,百货商店,13.58,18.7,18.52,20.73,12.68,7.46,0.92,60.43
sh,="603919",金徽酒,饮料,13.57,14.58,16.28,24.09,12.45,25.79,2.75,22.69
sh,="603916",苏博特,化学制品,13.57,10.87,12.54,19.46,13.71,15.23,2.05,47.02
sh,="603365",水星家纺,纺织品,13.57,24.21,24.36,20.36,14.35,13.8,1.82,18.23
sz,="300286",安科瑞,电气部件与设备,13.56,15.09,14.29,12.7,14.88,22.93,2.78,26.4
sh,="601077",渝农商行,,13.55,15.73,16.14,16.55,14.16,7.92,0.87,92.42
sz,="002044",美年健康,医疗保健提供商与服务,13.54,10,10.63,10.32,12.87,95.2,17.41,58.89
sz,="002727",一心堂,药品流通,13.47,16.02,14.96,16.1,14.14,22.36,3.88,45.31
sz,="300512",中亚股份,通用机械,13.45,13.55,16.46,28.79,10.83,23.25,2.17,27.32
sh,="603138",海量数据,信息技术服务,13.45,17.23,29.37,31.59,10.46,79.43,6.79,31.85
sz,="002871",伟隆股份,通用机械,13.4,13.88,17.83,15.18,11.09,38.49,3.42,18.14
sz,="300727",润禾材料,化学原料,13.38,17,17.18,19.45,10.4,35.72,3.33,18.45
sh,="603319",湘油泵,汽车零配件与设备,13.36,17.1,14.01,11.29,13.3,17.76,2.21,52.12
sz,="300609",汇纳科技,信息技术服务,13.36,13.98,20.87,19.79,15.12,48.44,6.81,14.85
sh,="603726",朗迪集团,通用机械,13.25,14.52,10.61,14.85,11.55,20.77,2.27,43.76
sh,="603533",掌阅科技,互联网软件与服务,13.25,14.98,11.16,19.21,11.66,61.12,5.62,29.74
sz,="002221",东华能源,石油天然气,13.2,14.93,11.16,13.44,13.46,14.47,1.45,64.51
sh,="603416",信捷电气,电气部件与设备,13.2,14.1,26.9,27.53,12.94,27.82,3.1,12.24
sh,="601231",环旭电子,电子设备及服务,13.18,16.34,11.27,10.57,13.32,30.43,3.58,54.88
sh,="600000",浦发银行,银行,13.14,14.45,16.35,18.82,12.98,5.85,0.74,91.94
sh,="603680",今创集团,专用设备,13.14,33.26,30.8,46.94,10.42,22.19,1.95,54.95
sh,="600076",康欣新材,纸类与林业产品,13.11,14.75,14.05,17.88,11.86,10.06,1.11,36.06
sh,="603136",天目湖,酒店餐饮与休闲,13.11,19.02,24.57,22.21,12.77,24.15,3.14,18.27
sz,="002003",伟星股份,服装与配饰,13.1,15.99,14.52,13.76,12.3,16.25,1.98,27.41
sz,="002928",华夏航空,航空运输,13.07,38.5,55.56,68.56,18.35,14.7,2.55,72.49
sz,="300382",斯莱克,专用设备,13.06,12.98,14.47,15.56,14.23,20.65,2.93,46.41
sh,="603607",京华激光,纸类与林业产品,13.06,21.22,25.94,26.54,12.64,34.8,4.06,19.88
sh,="603326",我乐家居,耐用家居用品,13.05,16.03,25.32,26.8,15.63,28.24,3.56,36.47
sh,="603359",东珠生态,建筑与工程,13.05,15.4,16.42,17.54,12.61,14.23,1.67,46.13
sh,="600419",天润乳业,食品,13.03,12.59,11.2,11.7,13.23,21.01,2.79,40.78
sz,="002705",新宝股份,家用电器,13,11.92,17.2,12.51,16.44,17.44,3.07,47.3
sz,="002923",润都股份,化学制剂,12.97,20.44,24.68,25.35,13.85,30.64,3.31,30.65
sh,="603279",景津环保,,12.96,12.12,10.17,12.05,14.01,27.16,3.3,40.61
sz,="002083",孚日股份,纺织品,12.95,12.63,12.13,10.77,13.27,16.71,1.61,50.61
sz,="002038",双鹭药业,生物科技,12.95,13.03,12.06,17.04,11.53,28.29,2.68,8.55
sh,="603882",金域医学,医疗保健提供商与服务,12.95,14.52,16.75,23.28,19.31,71.32,10.27,49.04
sh,="600016",民生银行,银行,12.94,14.03,15.13,16.98,12.37,5.09,0.61,91.98
sz,="300439",美康生物,生物科技,12.91,13.84,13.04,16.63,13.78,21.8,3.54,52.1
sh,="600705",中航资本,投资信托,12.9,12.33,10.77,15.2,11.15,14.68,1.42,85.82
sh,="603129",春风动力,汽车,12.9,16.92,25.42,55.84,17.01,27.2,4.93,56.48
sh,="603519",立霸股份,化学制品,12.88,11.9,10.86,11.09,20.14,23,4.61,21.5
sz,="300627",华测导航,航天航空,12.88,20.79,37.24,27.78,12.42,56.03,4.57,29.33
sz,="002706",良信电器,电气部件与设备,12.86,13.16,12.02,14.9,14.79,28.01,3.41,21.72
sz,="300623",捷捷微电,半导体,12.86,14.29,25.88,20.58,12.15,40.21,4.51,10.61
sz,="002958",青农商行,银行,12.86,13.33,13.59,14.63,12.31,11.96,1.37,92.5
sh,="600643",爱建集团,投资信托,12.84,12.27,10.23,10.18,13.81,11.92,1.34,63.06
sz,="300661",圣邦股份,半导体,12.84,17.25,34.5,35.37,16.56,158.96,22.43,21.21
sh,="600085",同仁堂,中药,12.83,12.55,12.51,13.33,11.89,36.3,3.74,27.89
sh,="603679",华体科技,电气部件与设备,12.81,13.6,19.79,20.73,16.97,40.08,6.13,44.87
sh,="600694",大商股份,百货商店,12.8,12.05,10.53,10.66,12.13,7.98,0.86,50.91
sh,="600933",爱柯迪,汽车零配件与设备,12.8,22.06,29.96,31.08,10.15,26.21,2.48,23.19
sz,="002014",永新股份,容器与包装,12.78,12.16,12.31,11.54,14.56,17.06,2.31,27.72
sh,="600373",中文传媒,传媒,12.77,12.49,12.51,11.54,12.56,11.02,1.44,45.73
sz,="002664",长鹰信质,汽车零配件与设备,12.73,14.12,14.53,14.33,12.54,20.23,2.69,33.97
sh,="603013",亚普股份,汽车零配件与设备,12.71,16.54,19.44,18.53,12.72,20.21,2.3,52.54
sh,="600901",江苏租赁,消费金融,12.68,17.46,16.45,16.89,13.31,12.01,1.54,82.51
sh,="600015",华夏银行,银行,12.67,13.54,15.75,17.18,11.2,5.31,0.57,91.29
sh,="601229",上海银行,银行,12.67,12.63,14.35,15.67,13,6.54,0.85,92.05
sh,="600062",华润双鹤,化学制剂,12.67,11.91,11.15,10.5,12.92,13.3,1.7,23.83
sh,="603367",辰欣药业,化学制剂,12.67,13.32,11.28,12.4,12.52,14.39,1.64,18.53
sh,="601900",南方传媒,传媒,12.66,14.68,12.8,17.74,13.75,14.38,1.34,45.57
sh,="603355",莱克电气,家用电器,12.64,11.77,18.13,17.32,15.7,17.28,2.77,35.82
sh,="601128",常熟银行,银行,12.62,12.52,11.91,12.79,12.11,12.74,1.37,90.41
sz,="002880",卫光生物,生物科技,12.58,18.54,34.3,35.92,11.88,34.51,3.8,7.58
sh,="603059",倍加洁,个人用品,12.58,28.84,30.89,28.18,11.43,24.48,2.43,19.12
sz,="300438",鹏辉能源,电气部件与设备,12.56,14.73,15.64,12.61,11.41,27.27,2.65,53.49
sz,="300608",思特奇,信息技术服务,12.55,11.13,16.13,15.81,12.58,29.21,3.52,45.49
sh,="601966",玲珑轮胎,汽车零配件与设备,12.54,12.57,16.34,15.25,14.85,17.33,2.39,57.75
sh,="601858",中国科传,传媒,12.51,12.37,13.83,14.03,12.99,19.5,2.34,28.26
sz,="002777",久远银海,互联网软件与服务,12.51,18.81,17.62,25.74,12.28,56.6,6.96,40.37
sh,="601021",春秋航空,航空运输,12.49,16,13.74,23.01,12.7,24.09,2.49,49.43
sh,="603019",中科曙光,电脑与外围设备,12.49,10.24,10.59,14.09,13.61,101.72,8,74.03
sz,="300271",华宇软件,信息技术服务,12.49,16.33,16.37,16,11.33,37.16,4.77,14.66
sz,="002394",联发股份,纺织品,12.47,12.17,14.19,11,11.89,9.59,0.94,24.4
sh,="603098",森特股份,建筑产品,12.46,12.36,20.66,19.63,13.38,18.42,2.37,45.25
sh,="603226",菲林格尔,纸类与林业产品,12.46,15.21,22.02,27.05,11.56,34.2,3.16,20.29
sz,="300622",博士眼镜,专营零售,12.46,13.4,16.53,15.3,11.13,52.5,4.91,18.68
sh,="600886",国投电力,电力公用事业,12.44,10.91,14.17,21.84,12.55,11.67,1.59,67.19
sh,="600919",江苏银行,银行,12.43,13.72,14.47,15.72,12.82,5.46,0.74,93.49
sh,="603939",益丰药房,药品流通,12.42,10.23,10.78,13.93,18.56,57.36,19.14,44.3
sh,="603058",永吉股份,商业用品与服务,12.39,11.46,16.71,17.87,12.27,31.25,3.05,6.47
sh,="603928",兴业股份,化学制品,12.37,12.48,18.39,22.1,10.71,17.74,1.78,19.55
sz,="002036",联创电子,光电子器件,12.36,16.33,13.94,17.44,13.45,55.22,4.46,70.18
sz,="300667",必创科技,电子设备及服务,12.35,16.46,22.17,20.69,12.09,57.27,6.71,27.29
sh,="603990",麦迪科技,计算机软件,12.26,12.39,21.6,23.31,11.93,99.32,7.81,35.11
sh,="603557",起步股份,服装与配饰,12.23,17.55,19.97,25.15,11.43,27.88,2.6,34.76
sh,="603516",淳中科技,电子设备及服务,12.23,35.01,42.86,49.26,13.61,46.93,5.8,10.75
sh,="603383",顶点软件,资本市场服务,12.18,13.86,16.14,27.97,11.76,77.12,7.6,12.52
sz,="002840",华统股份,食品,12.17,10.78,12.03,10.74,10.59,44.25,3.44,41.44
sz,="300519",新光药业,中药,12.12,15.71,25.05,44.38,11.96,24.41,2.67,7.75
sz,="000718",苏宁环球,住宅地产开发和管理,12.06,14.88,12.54,16.91,15.02,9.08,1.43,56.17
sh,="601988",中国银行,银行,12.06,12.24,12.58,14.53,11.53,5.77,0.66,91.21
sh,="600081",东风科技,汽车零配件与设备,12.06,11.6,10.47,14.74,10.71,25.28,2.4,67.37
sz,="002802",洪汇新材,化学原料,12.04,12.49,12.57,17.54,13.3,29.03,3.79,8.99
sz,="300580",贝斯特,汽车零配件与设备,12.04,12.04,18.06,16.97,11.71,18.3,1.88,15.98
sh,="603197",保隆科技,汽车零配件与设备,12.04,17.18,24.25,14.71,15.11,34.45,5.1,64.27
sh,="601186",中国铁建,建筑与工程,12,12.16,11.55,12.41,10.8,7.18,0.82,78.43
sz,="300610",晨化股份,化学原料,12,12.97,15.38,14.85,11.61,23.25,2.12,14.06
sh,="601865",福莱特,非金属材料与制品,12,14,22,23,15.84,33.12,4.36,48.93
sz,="300702",天宇股份,化学原料药,11.98,12.64,22.25,10.6,32.72,17.73,4.85,31.29
sh,="600329",中新药业,中药,11.93,11.05,10.38,13.54,12.03,18.02,1.98,29.34
sh,="601860",紫金银行,银行,11.93,11.88,14.22,14.77,11.23,16.81,1.7,93.31
sz,="002837",英维克,专用设备,11.92,13.5,28.56,37.34,10.6,31.52,3.69,48.3
sz,="002935",天奥电子,电子元器件,11.91,16.32,17.15,20.14,10.04,48.13,3.53,22.44
sz,="300498",温氏股份,农牧渔产品,11.89,21.65,43.48,34.95,19.81,30.48,5.13,34.27
sh,="603985",恒润股份,通用机械,11.89,11.93,23.94,17.63,12.58,15.11,1.96,35.86
sz,="300798",锦鸡股份,,11.83,13.75,18.34,19.58,11.12,51.55,4.29,22.54
sh,="600093",易见股份,物流,11.78,12.66,10.22,11.05,12.24,17.67,2.06,51.6
sz,="300448",浩云科技,电子设备及服务,11.78,12.77,13.97,14.44,12.1,37.26,4.28,15.94
sz,="300750",宁德时代,电气部件与设备,11.75,18.99,69.55,130.37,13.01,46.99,5.24,57.96
sh,="600557",康缘药业,中药,11.73,11.29,12.55,13.65,12.77,18.05,2.25,32.82
sh,="601139",深圳燃气,燃气公用事业,11.72,11,10.42,10.15,10.56,19.23,1.93,46.98
sh,="603158",腾龙股份,汽车零配件与设备,11.69,14,14.33,14.36,11.65,35.64,3.33,37.8
sz,="300695",兆丰股份,汽车零配件与设备,11.69,25.39,46.35,28.06,11.41,20.23,2.06,14.71
sz,="002892",科力尔,电气部件与设备,11.68,18.24,31.59,34.25,13.97,46.47,5.55,18.67
sh,="600007",中国国贸,房地产租赁,11.67,10.16,11.71,11.61,13.1,18.48,2.24,37.06
sh,="603186",华正新材,电子元器件,11.67,16.18,22.7,12.28,13.57,68.85,7.12,71.45
sz,="300639",凯普生物,生物科技,11.66,11.83,16.88,17.22,14.1,43.29,5.3,7.75
sz,="002836",新宏泽,商业用品与服务,11.65,11.69,19.83,14.96,12.07,39.96,7.09,37.08
sh,="601169",北京银行,银行,11.65,13.77,14.92,16.26,11.58,5.42,0.63,92.34
sz,="300427",红相股份,电气部件与设备,11.62,11.19,12.49,13.67,12.36,18.23,4.09,48.36
sh,="603896",寿仙谷,中药,11.61,13.09,20.27,18.38,10.48,49,3.85,13.4
sh,="603578",三星新材,非金属材料与制品,11.6,12.82,20.29,17.87,10.19,34.65,2.9,28.72
sh,="603377",东方时尚,其他消费者服务,11.59,14.03,16.98,47.86,11.84,55.48,6.76,50.63
sz,="002913",奥士康,电子元器件,11.57,18.52,27.37,30.66,11.47,33.93,3.35,27.36
sh,="600012",皖通高速,交通基本设施,11.56,12.12,11.16,11.95,10.92,8.52,0.91,25.43
sz,="200028",一致Ｂ,,11.56,11.91,15.06,14.94,10.29,9.07,0.96,57.15
sz,="000028",国药一致,药品流通,11.56,11.91,15.06,14.94,10.29,15.39,1.61,57.15
sh,="601818",光大银行,银行,11.55,12.75,13.8,15.5,15.2,5.81,0.7,91.95
sz,="300650",太龙照明,家用电器,11.53,13.57,20.31,24.16,10.18,37.47,3.48,32.6
sh,="603987",康德莱,医疗保健设备与用品,11.49,10.05,14.2,14.09,10.87,22.55,2.66,37
sz,="000001",平安银行,银行,11.49,11.62,13.18,14.94,11.72,10.64,1.14,92.23
sh,="603611",诺力股份,通用机械,11.47,10.44,15.84,13.34,12.83,21.43,4.57,65.5
sz,="002847",盐津铺子,食品,11.45,11.96,30.4,30.26,15.57,62.11,6.14,45.36
sz,="002801",微光股份,电气部件与设备,11.44,13.61,17.21,22.17,15.3,39.18,4.11,19
sz,="000997",新大陆,计算机软件,11.44,20.61,18.77,17.11,13.23,24.97,3.08,44.81
sz,="300605",恒锋信息,信息技术服务,11.42,10.52,17.7,20,11.84,35.46,3.84,32.59
sh,="601998",中信银行,银行,11.39,11.67,12.58,14.55,11.3,6.06,0.68,92.48
sz,="002317",众生药业,中药,11.38,11.87,16.2,15.13,11.35,18.36,2.92,22.66
sh,="600261",阳光照明,家用电器,11.3,12.44,14.97,13.3,16.86,12.5,1.72,39.55
sz,="002191",劲嘉股份,商业用品与服务,11.27,11.63,13.3,19.02,12.94,19.64,2.85,14.97
sz,="000726",鲁泰Ａ,纺织品,11.24,11.87,11.71,10.66,11.3,10.01,1.04,30.08
sz,="200726",鲁泰Ｂ,,11.24,11.87,11.71,10.66,11.3,6.93,0.73,30.08
sz,="200869",张裕Ｂ,,11.23,12.14,12.55,14.4,10.26,10.15,0.97,22.88
sz,="000869",张裕Ａ,饮料,11.23,12.14,12.55,14.4,10.26,20.38,1.92,22.88
sh,="603685",晨丰科技,家用电器,11.21,26.32,31.41,31.74,11.94,20.07,2.11,28.14
sz,="002927",泰永长征,电气部件与设备,11.21,19.78,22.19,23.03,10.56,52.1,4.42,23.03
sz,="002908",德生科技,信息技术服务,11.2,13.8,14.16,32.81,11.79,34.26,3.62,16.28
sh,="603527",众源新材,有色金属,11.2,16.21,21.61,22.21,10.24,21.02,1.91,25.29
sh,="601800",中国交建,建筑与工程,11.18,12.95,11.73,11.88,10.75,8.3,0.79,74.96
sh,="601328",交通银行,银行,11.17,11.4,12.22,13.46,11.21,5.37,0.61,92.12
sz,="002019",亿帆医药,化学制剂,11.16,27.87,22.02,13.29,11.28,25.14,3.8,26.01
sz,="300403",汉宇集团,电气部件与设备,11.15,11.24,15.25,12.1,11.01,20.91,2.23,18.56
sh,="603938",三孚股份,化学原料,11.15,19.05,15.15,17.84,10.51,23.83,2.16,8.99
sz,="002864",盘龙药业,中药,11.1,11.98,12.83,15.97,12.17,31.15,3.29,24.84
sz,="300738",奥飞数据,互联网软件与服务,11.1,26.58,35.4,105.01,15.88,46.67,6.67,56.08
sz,="300166",东方国信,信息技术服务,11.08,10.28,10.27,13.28,10.64,25.5,2.99,13.92
sh,="600926",杭州银行,银行,11.01,11.34,11.83,12.84,11.64,7.08,0.87,93.73
sz,="002931",锋龙股份,通用机械,11,24.18,32.01,42.4,11.26,46.43,4.46,24.84
sz,="300429",强力新材,化学制品,10.95,12.52,15.27,17.29,10.24,48.66,4.85,17.79
sz,="002849",威星智能,电气部件与设备,10.94,10.85,20.6,16.45,11.18,28.04,2.71,51.53
sh,="603289",泰瑞机器,专用设备,10.93,15.11,17.28,14.4,12.34,20.95,2.33,28.56
sz,="002873",新天药业,中药,10.91,13.98,22.74,20.21,11.17,25.91,2.42,36.58
sz,="002373",千方科技,信息技术服务,10.86,10.74,10.83,23.99,10.68,32.15,4.79,38.16
sz,="300416",苏试试验,电子设备及服务,10.84,12.06,11.63,11.71,10.17,52.1,4.74,49.51
sz,="002790",瑞尔特,耐用家居用品,10.82,11.45,15.51,28.44,11.29,17.82,1.76,13.81
sh,="603712",七一二,通信设备,10.8,12.48,11.2,13.24,11.81,87.89,6.82,55.27
sh,="603520",司太立,化学原料药,10.78,10.01,10.8,15.95,16.02,52.05,17.1,70.02
sh,="600697",欧亚集团,百货商店,10.72,10.68,16.32,18.71,10.21,11.4,1.03,74.57
sh,="600908",无锡银行,银行,10.68,11.04,11.52,12.3,10.68,8.01,0.9,93
sh,="601000",唐山港,交通基本设施,10.67,10.33,12.16,13.44,10.95,8.5,0.9,26.12
sh,="601595",上海电影,传媒,10.66,12.87,19.62,28.86,11.08,121.27,2.12,22.83
sh,="603839",安正时尚,服装与配饰,10.66,11.95,19.72,23.17,11.26,19.29,1.85,24.92
sz,="300720",海川智能,通用机械,10.66,15.23,17.95,17.01,10.48,35.42,3.25,8.59
sz,="000411",英特集团,药品流通,10.59,10.42,12.12,10.72,13.34,25.54,2.14,75.22
sz,="300501",海顺新材,容器与包装,10.58,11.24,12.74,23.99,10.1,31.49,2.63,36.29
sz,="000546",金圆股份,建筑材料,10.53,13.8,15.2,15.06,10.56,20.26,2.1,47.49
sz,="300527",中国应急,专用设备,10.53,10.17,14.86,15.55,11.45,60.88,5.04,45.29
sz,="300739",明阳电路,电子元器件,10.51,24.22,33.1,20.83,10.12,52.15,3.61,28
sz,="300455",康拓红外,电子设备及服务,10.44,10.64,10.9,12.84,11.04,74.62,3.42,12.36
sh,="603855",华荣股份,电气部件与设备,10.44,11.06,14.92,18.09,12.36,18.6,2.03,43.35
sh,="600502",安徽建工,建筑与工程,10.36,12.45,11.14,11.69,11,7.62,0.94,84.26
sz,="002877",智能自控,通用机械,10.33,10.14,15.27,16.12,13.35,42.63,3.69,41.62
sh,="603856",东宏股份,建筑产品,10.33,12.59,12.39,14.34,10.86,15.99,1.52,16.52
sh,="603006",联明股份,汽车零配件与设备,10.31,12.96,16.7,14.02,10.03,19.19,1.85,34.53
sh,="603909",合诚股份,商业用品与服务,10.23,10.33,13.2,19.34,10.92,26.43,3.07,41.13
sh,="603600",永艺股份,耐用家居用品,10.2,15.82,20.61,18.34,14.4,23.01,2.81,33.06
sh,="600629",华建集团,建筑与工程,10.18,12.48,27.71,22.44,10.13,18.23,1.66,66.24
sh,="603825",华扬联众,传媒,10.17,13.98,15.45,15.41,10.78,17.73,2.23,78.3
sz,="000811",冰轮环境,通用机械,10.16,12.51,13.55,14.86,10.05,21.25,1.84,44.55
sz,="002100",天康生物,农牧渔产品,10.16,14.66,15.82,10.9,10.46,38.81,3.43,51.51
sh,="601949",中国出版,传媒,10.16,10.98,14.39,18.62,11.83,17.79,1.66,42.52
sz,="000513",丽珠集团,化学制剂,10.15,51.17,15.48,15.51,11.09,26.33,2.71,26.89
sh,="603500",祥和实业,通用机械,10.15,16.43,22.79,40.95,11.91,23.29,2.37,7.48
sh,="603331",百达精工,通用机械,10.14,12.17,16.96,12.67,10.3,29.99,2.57,37.94
sh,="601975",招商南油,水上运输,10.13,12.95,20.77,30.56,16.91,22.28,3.17,43.59
sh,="603303",得邦照明,家用电器,10.04,15.47,28.55,39.97,10.68,20.09,1.75,34.78
sz,="002936",郑州银行,银行,10.03,18.82,20.21,26.22,11.68,8.31,0.84,91.75

数据来源于：理杏仁网站(lixinger.com)
