﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sh,="600867",通化东宝,化学制剂,17.63,19.79,20.78,21.81,17.14,32.25,5.39,6.12
sz,="002768",国恩股份,化学制品,17.63,22.23,17.04,13.95,17.26,18.01,2.78,45.97
sz,="002440",闰土股份,化学制品,17.61,14.07,10.76,12.6,16.88,10.77,1.48,17.24
sh,="603579",荣泰健康,休闲设备与用品,17.6,18.85,55.46,59.36,17.92,18.47,2.49,28.89
sh,="603569",长久物流,物流,17.57,19.79,28.49,35.65,11.55,22.73,2.42,52.35
sz,="300446",乐凯新材,化学制品,17.54,19.77,23.54,28.49,17.17,26.96,4.33,5.8
sh,="603060",国检集团,商业用品与服务,17.54,14.79,25.49,27.45,14.96,43.88,5.34,18.51
sz,="000688",国城矿业,有色金属,17.5,21.04,14.47,21.4,12.93,60.73,5.9,17.59
sh,="600167",联美控股,复合型公用事业,17.48,17.84,32.74,16.39,23.06,18.99,4.09,35.57
sz,="300662",科锐国际,商业用品与服务,17.43,16.2,21.83,30.01,18.45,41.09,7.74,39.91
sh,="603039",泛微网络,计算机软件,17.42,16.44,24.86,24.64,17.44,86.56,10.5,53.16
sh,="603898",好莱客,耐用家居用品,17.38,22.45,24.1,20.17,14.35,14.94,1.85,28.59
sz,="000538",云南白药,中药,17.37,18.55,20.03,22.43,11.81,39.87,3,24.03
sz,="002884",凌霄泵业,通用机械,17.36,22.79,25.66,21.18,20.09,11.42,2.01,7.36
sz,="300723",一品红,化学制剂,17.33,33.84,51.92,41.85,18.72,25.89,3.7,20.8
sh,="600803",新奥股份,可替代能源,17.29,12.86,11.65,17.82,15.43,11.03,1.34,60.44
sh,="603730",岱美股份,汽车零配件与设备,17.29,26.81,33.02,29.34,17.36,18.45,3.5,29.56
sz,="000828",东莞控股,交通基本设施,17.27,16.46,17.12,18.99,17.6,8.51,1.17,41.26
sz,="002081",金螳螂,建筑与工程,17.23,17.88,18.11,20.29,16.71,9.73,1.53,58.97
sh,="601877",正泰电器,电气部件与设备,17.16,15.35,20.62,26.37,16.5,14.06,2.2,55.45
sh,="600606",绿地控股,住宅地产开发和管理,17.14,15.21,13.01,14.12,19.67,6.51,1.08,88.29
sh,="600217",中再资环,商业用品与服务,17.11,15.06,15.73,22.22,26.18,18.26,4.18,67.95
sz,="300653",正海生物,生物科技,17.09,16.63,22.49,33.8,18.55,62.89,10.79,12.55
sz,="300616",尚品宅配,耐用家居用品,17.08,18,35.2,25.79,17.01,29.62,3.99,39.72
sz,="300014",亿纬锂能,电子设备及服务,17.07,18.83,13.88,13.86,30.15,32.88,6.09,48.18
sh,="600987",航民股份,纺织品,17.03,17.28,18.55,18.9,16.79,10.02,1.42,25.45
sh,="601009",南京银行,银行,16.96,16.94,16.25,17.59,16.73,5.69,0.94,93.59
sh,="603980",吉华集团,化学制品,16.95,13.22,19.11,40.97,12.95,10.95,1.17,13.23
