﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2003-12-31 累计(%),归属于母公司普通股股东的加权ROE 2002-12-31 累计(%),归属于母公司普通股股东的加权ROE 2000-12-31 累计(%),归属于母公司普通股股东的加权ROE 2001-12-31 累计(%),归属于母公司普通股股东的加权ROE 2004-12-31 累计(%),PE-TTM(扣非) 2005-04-30 ,PB(不含商誉) 2005-04-30 ,资产负债率 2004-12-31 累计(%)
sh,="600271",航天信息,电子设备及服务,37.41,45.28,76.74,33.53,12.7,21.78,2.61,32.87
sh,="600477",杭萧钢构,建筑产品,35.67,50.8,36.03,29.05,16.91,13.65,2.15,66.05
sh,="600660",福耀玻璃,汽车零配件与设备,30.9,28.4,31.47,28.4,23.5,20.44,4.05,65.36
sz,="200037",深南电B,,29.66,33.45,22,22.09,24.82,9.15,2.02,50.71
sz,="000037",深南电A,电力公用事业,29.66,33.45,22,22.09,24.82,12.09,2.66,50.71
sh,="600231",凌钢股份,黑色金属,26.62,15.06,15.67,13.51,22.46,5.37,1.09,31.28
sh,="600309",万华化学,化学原料,26.2,21.11,32.51,15.46,36.2,27.01,10.05,56.15
sz,="000717",韶钢松山,黑色金属,25.24,13.67,10.26,10.76,20.32,4.58,0.86,54.44
sh,="600352",浙江龙盛,化学制品,25.09,37.15,12.65,22.37,18.05,28.37,3.79,54.56
sz,="200160",东沣B,,24.74,23,27,16,11.48,10.76,0.53,44.9
sh,="600282",南钢股份,黑色金属,24.2,14.12,23.83,12.9,22.31,8.77,1.06,66.09
sh,="600232",金鹰股份,纺织品,23.59,13.88,15.08,12.66,20.11,13.05,2.49,46.51
sh,="600507",方大特钢,黑色金属,22.87,25.73,16.27,21.45,15.27,13.42,1.84,54.05
sz,="000778",新兴铸管,黑色金属,22.15,19.76,18.41,21.27,19.85,6.8,1.41,51.46
sh,="600686",金龙汽车,汽车,21.68,24.94,11.8,14.04,17.05,13.81,2.21,56.77
sz,="000027",深圳能源,电力公用事业,21.49,17.77,16.85,14.59,17.73,13.71,2.17,30.97
sh,="600126",杭钢股份,黑色金属,21.3,12.44,26.86,17.39,23.14,5.3,1,35.94
sz,="000402",金融街,住宅地产开发和管理,20.98,29.63,21.15,54.48,26.47,29.31,3.15,64.74
sz,="000157",中联重科,专用设备,20.58,16.18,16.04,12.27,26.94,8.65,2.04,53.67
sz,="200011",深物业B,,20.46,11.76,24.1,35.79,17.41,15.18,2.32,75.37
sz,="000011",深物业A,住宅地产开发和管理,20.46,11.76,24.1,35.79,17.41,31.88,4.88,75.37
sz,="000039",中集集团,通用机械,20.42,17.86,23.97,23.67,37.39,9.44,3.81,50.68
sz,="200039",中集B,,20.42,17.86,23.97,23.67,37.39,6.42,2.44,50.68
sz,="000538",云南白药,中药,19.61,20.18,12.32,18.07,27.27,31.79,8.03,41.74
sh,="600016",民生银行,银行,19.46,15.39,25.36,12.25,17.32,13.93,2.3,97.1
sh,="600780",通宝能源,电力公用事业,19.26,12.28,10.98,11.21,16.91,14.21,1.78,63.26
sz,="000531",穗恒运A,电力公用事业,19.08,12.25,10.25,10.92,18.48,12.82,1.98,45.44
sh,="600519",贵州茅台,饮料,18.65,13.86,68.44,26.79,21.53,22.48,4.59,33.84
sh,="600415",小商品城,房地产租赁,18.56,14.39,12.96,13,15.25,43.26,4.7,77.79
sh,="600438",通威股份,农牧渔产品,17.48,26.79,21.38,35.01,10.62,17.08,2.24,42.4
