﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2016-04-30 ,PB(不含商誉) 2016-04-30 ,资产负债率 2015-12-31 累计(%)
sz,="300494",盛天网络,互联网软件与服务,68.06,84.36,93.46,25.08,40.51,119.81,11.42,7.3
sh,="603377",东方时尚,其他消费者服务,62.95,71.94,80.6,47.86,60.32,56.78,9.94,47.32
sz,="000921",海信家电,家用电器,58.16,61.95,33.72,15.49,21.65,36.36,2.42,68.7
sh,="603868",飞科电器,家用电器,53.99,71.38,83.43,55.23,53.35,53.56,13.1,34.66
sz,="300484",蓝海华腾,电气部件与设备,50.41,51.92,58.92,31.97,30.48,102.95,18.05,31.52
sz,="300386",飞天诚信,计算机软件,49.5,39.12,30.92,12.65,27.87,68.83,6.12,13.12
sz,="002745",木林森,光电子器件,49.47,27.09,23.18,10.98,34.65,79.34,5.76,66.88
sz,="300433",蓝思科技,光电子器件,48.98,72.17,101.7,16.6,17.27,62.41,4.51,49.09
sz,="300436",广生堂,化学制剂,47.89,49.6,72.82,27.15,59.07,86.4,15.56,13.57
sz,="300467",迅游科技,互联网软件与服务,47.8,37.9,36.1,20.67,60.05,182.06,21.07,10.72
sz,="300418",昆仑万维,计算机软件,47.53,34.67,59.06,16.67,35.8,146.92,15.07,31.08
sz,="000049",德赛电池,电子设备及服务,45.62,40.09,45.41,27.75,37.05,42.24,8.04,64.8
sh,="603288",海天味业,食品,45,38,35,32,33,30.99,9.79,23.89
sz,="300508",维宏股份,计算机软件,44.3,51.09,82.3,30.29,43.65,66.97,8.02,8.8
sh,="600340",华夏幸福,住宅地产开发和管理,44.3,51.42,66.49,42.07,42.83,14.54,3.43,84.8
sz,="000603",盛达资源,有色金属,43.91,56.25,79.1,31.3,40.69,38.45,9.31,25.29
sz,="002749",国光股份,农用化工,43.23,56.58,71.94,19.02,34.38,46.32,6.25,8.62
sz,="300393",中来股份,电子元器件,41.73,52.13,51.77,13.78,27.96,48.59,6.37,44.74
sz,="300471",厚普股份,专用设备,41.56,39.44,40.74,17.59,35.84,53.36,4.89,37.58
sz,="300439",美康生物,生物科技,40.7,58.54,68.56,16.63,38.79,61.88,6.93,11.01
sz,="300446",乐凯新材,化学制品,40.44,41.1,45.88,28.49,36.32,52.21,10.99,9.51
sh,="603699",纽威股份,通用机械,40.3,29.36,20.71,14.17,25.72,54.36,5,37.16
sz,="300406",九强生物,生物科技,39.98,38.36,41.86,22.89,33.35,42.27,8.53,6.86
sh,="600519",贵州茅台,饮料,39.43,45,40.39,26.23,31.96,19.56,4.59,23.25
sh,="603669",灵康药业,化学制剂,39.1,52.48,54.87,19.45,35.18,55.78,6.14,16.67
sz,="300389",艾比森,光电子器件,38.99,47.45,43.96,15.07,31.17,59.16,7.77,34.49
sz,="002790",瑞尔特,耐用家居用品,38.82,39.89,32.89,28.44,32.79,42.52,5.25,29.98
sz,="300360",炬华科技,电气部件与设备,38.57,42.96,38.78,24.58,28.62,34.35,8.15,33.26
sz,="300485",赛升药业,化学制剂,38.02,43.9,60.66,16.75,36.15,51.76,6.06,3.19
sz,="300384",三联虹普,商业用品与服务,38.02,46.65,63.74,15.65,37.58,71.86,8.94,35.1
sz,="000540",中天金融,住宅地产开发和管理,37.79,18.53,26.89,32.18,38.79,12.64,2.57,76.61
sz,="300463",迈克生物,生物科技,37.64,42.69,47.95,17.18,32.55,65.08,7.67,15.67
sh,="603025",大豪科技,电脑与外围设备,37.61,29.6,34.01,14.75,26.44,80.62,9.38,6.64
sh,="600816",安信信托,投资信托,37.4,18.67,46.05,42.73,76.89,13.82,4.46,31.12
sz,="000848",承德露露,饮料,36.53,28.06,26.25,31.16,38.13,20.92,5.14,31.71
