﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2008-12-31 累计(%),归属于母公司普通股股东的加权ROE 2007-12-31 累计(%),归属于母公司普通股股东的加权ROE 2005-12-31 累计(%),归属于母公司普通股股东的加权ROE 2006-12-31 累计(%),归属于母公司普通股股东的加权ROE 2004-12-31 累计(%),PE-TTM(扣非) 2009-04-30 ,PB(不含商誉) 2009-04-30 ,资产负债率 2008-12-31 累计(%)
sh,="600596",新安股份,农用化工,76.69,38.64,26.91,33.73,22.44,7.53,3.55,25.2
sh,="900948",伊泰B股,,59.49,55.75,50.09,37.27,33.2,6.53,3.44,59.67
sz,="000792",*ST盐湖,农用化工,51.46,44.14,34.24,44.33,23.27,22.87,11.73,37.01
sz,="000933",神火股份,有色金属,46.62,51.7,29.35,23.8,26.59,13.34,4.1,74.28
sz,="000983",西山煤电,煤炭,44.43,19.48,23.3,20.13,17.82,13.69,5.26,40.38
sz,="000937",冀中能源,煤炭,41.76,16.79,21.41,15.79,20.84,9.37,3.42,43.66
sh,="601699",潞安环能,煤炭,41.73,23.87,47.84,38.57,35.17,11.38,4.27,51.56
sh,="600519",贵州茅台,饮料,39.01,39.3,23.99,27.67,21.53,26.48,8.81,26.98
sh,="600150",中国船舶,专用设备,38.22,50.54,20.48,28.8,14.03,11,3.26,71.1
sh,="601001",大同煤业,煤炭,37.26,13.78,32.79,20.34,29.95,10.1,3.42,34.92
sh,="600123",兰花科创,煤炭,37.2,18.99,29.32,30.5,24.03,11.69,3.57,48
sh,="600000",浦发银行,银行,36.71,20.1,17.21,19.37,15.17,10.69,2.91,96.82
sz,="000157",中联重科,专用设备,35.91,45,19.12,24.53,26.94,23.15,9.98,76.89
sh,="600309",万华化学,化学原料,35.74,45.73,41.13,38.81,36.2,31.99,8.99,30.69
sz,="200771",杭汽轮B,,34.22,30.66,47.7,42.37,29.96,6.05,1.69,51.69
sh,="601666",平煤股份,煤炭,32.83,19.86,41.98,33.22,45.28,8.38,2.76,41.84
sh,="600582",天地科技,专用设备,31.72,34.96,18.16,28.35,12.09,26.45,6.71,55.79
sz,="000895",双汇发展,食品,31.71,26.73,21.88,24.78,17.86,27.75,9.3,32.06
sh,="600547",山东黄金,有色金属,31.7,25.91,13.6,19.43,11.03,44.81,11.81,42.1
sz,="002024",苏宁易购,专营零售,31.6,37.66,35.04,33.87,36,30.23,7.31,57.85
sz,="002128",露天煤业,煤炭,31.22,28.57,67.59,44.29,30.64,24.56,7.49,40.1
sz,="002022",科华生物,生物科技,31.03,28.64,17.31,21.26,21.32,49.31,13.11,12.69
sh,="600508",上海能源,煤炭,30.87,19.18,20.63,20.22,20.86,10.67,2.72,43.4
sz,="000651",格力电器,家用电器,30.36,31.94,20.04,21.92,18.34,17.56,4.84,75.16
sh,="600348",阳泉煤业,煤炭,30.23,15.21,23.94,24.19,16.74,13.35,4.25,53.14
sz,="000538",云南白药,中药,29.4,28.18,30.91,29.32,27.27,41.39,5.99,35.46
sh,="600970",中材国际,专用设备,28.97,28.23,15.47,16.44,28.96,25.71,3.97,91.58
sz,="002152",广电运通,电脑与外围设备,28.19,43.78,30.13,47.31,35.98,29.02,6.59,35.29
sz,="002122",*ST天马,通用机械,28.08,20.8,51.54,63.23,45.74,34.48,5.42,54.93
sh,="600026",中远海能,水上运输,27.74,32.03,28.18,23.81,24.17,10.8,1.97,28
sz,="002202",金风科技,重型电气设备,27.72,74.98,70.9,70.17,64.04,40.43,12.53,63.09
sh,="600066",宇通客车,汽车,27.72,19.25,15.32,18.22,12.6,18.67,3.83,63.69
sh,="600036",招商银行,银行,27.41,24.76,17.51,18.49,16.1,12.21,3.14,94.92
sz,="002217",合力泰,光电子器件,27.31,35.97,70.61,39.33,83.81,15.91,3.32,24.04
sh,="601166",兴业银行,银行,26.06,25.34,22.25,25.87,20.57,11.07,2.34,95.2
sz,="002153",石基信息,计算机软件,25.95,35.48,39.08,43.11,33.1,52.75,12.38,14.86
sh,="600583",海油工程,能源设备与服务,25.81,30.87,28.31,27.95,22.53,29.75,4.39,48.76
sz,="002147",ST新光,商业地产开发和管理,25.6,34.85,35.35,57.75,82.93,40.37,7.69,19.45
sh,="600845",宝信软件,计算机软件,25.08,23.21,15.55,18.3,14.07,34.82,7.28,53.69
