﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2003-12-31 累计(%),归属于母公司普通股股东的加权ROE 2002-12-31 累计(%),归属于母公司普通股股东的加权ROE 2005-12-31 累计(%),归属于母公司普通股股东的加权ROE 2006-12-31 累计(%),归属于母公司普通股股东的加权ROE 2004-12-31 累计(%),PE-TTM(扣非) 2007-04-30 ,PB(不含商誉) 2007-04-30 ,资产负债率 2006-12-31 累计(%)
sz,="001696",宗申动力,汽车,58.74,24.48,32.08,30.22,37.25,42.25,11.73,49.5
sz,="002024",苏宁易购,专营零售,49.42,46.25,35.04,33.87,36,68.85,17.05,63.71
sz,="002032",苏泊尔,耐用家居用品,44.95,42.15,10.06,13.88,17,42.21,6.91,46.03
sz,="002022",科华生物,生物科技,38.42,36.86,17.31,21.26,21.32,52,13.64,17.85
sh,="600271",航天信息,电子设备及服务,37.41,45.28,13.39,16.68,12.7,40.18,5.55,28.73
sh,="600022",山东钢铁,黑色金属,36.79,28.25,23.14,20.97,32.27,15.25,3.54,71.1
sz,="002028",思源电气,重型电气设备,36.48,28.32,20.99,29.64,22.14,43.04,12.67,58.31
sh,="600143",金发科技,化学制品,33.74,39.49,18.41,28.08,18.52,64.14,16.06,55.97
sh,="600410",华胜天成,信息技术服务,33.38,39.31,15.79,19.87,17.79,55.03,10.35,54.37
sz,="002004",华邦健康,农用化工,33.1,36.27,12.98,13.37,17.93,56.23,6.68,31.65
sz,="000662",天夏智慧,互联网软件与服务,32.77,20.2,23.03,19.03,26.16,41.82,4.22,27.16
sz,="002008",大族激光,电子设备及服务,32.33,41.61,14.17,18.85,17.38,100.27,14.26,51.61
sz,="002014",永新股份,容器与包装,32.17,32,13.02,13.55,18.69,31.78,4.09,33.63
sz,="000088",盐田港,交通基本设施,32.12,31.35,19.83,21.39,20.06,27.73,6.05,6.34
sz,="002007",华兰生物,生物科技,31.71,36.24,10.28,14.84,13.13,71.52,9.75,27.9
sz,="002029",七匹狼,服装与配饰,30.98,27.76,11.5,15.16,15.9,56.66,8.31,37.26
sh,="600660",福耀玻璃,汽车零配件与设备,30.9,28.4,19.5,24.1,23.5,33.69,7.54,62.33
sz,="002010",传化智联,物流,30.76,41.29,17.84,17.22,20.33,33.87,5.31,16.41
sz,="002030",达安基因,生物科技,28.54,31.55,10.04,10.4,15.7,100.14,7.04,13.92
sh,="600231",凌钢股份,黑色金属,26.62,15.06,14,14.16,22.46,13.26,2.09,20.95
sh,="600309",万华化学,化学原料,26.2,21.11,41.13,38.81,36.2,54.21,17.37,45.47
sz,="002021",*ST中捷,专用设备,26.09,41.54,13.21,15.29,14.09,41.75,5.17,55.38
sh,="600978",宜华生活,耐用家居用品,25.63,26.56,13.41,19.31,25.92,64.89,5.86,46.24
sz,="000528",柳工,专用设备,25.53,16.17,13,20.53,18.96,28.42,5.39,39.59
sz,="002050",三花智控,通用机械,25.51,18.02,22.22,11.26,31.41,41.47,4.12,42.62
sz,="002031",巨轮智能,专用设备,25.29,28.01,12,12.86,20.65,44.11,5.08,40.91
sh,="600971",恒源煤电,煤炭,25.27,31.92,22.54,20.99,33.19,17.59,3.85,37.97
sz,="002015",协鑫能科,纺织品,25.14,22.03,10.31,11.37,14.16,48.75,5.46,59.34
sh,="600282",南钢股份,黑色金属,24.2,14.12,12.21,10.79,22.31,20.79,3.18,62.25
sh,="600232",金鹰股份,纺织品,23.59,13.88,13.43,11.08,20.11,32.46,2.93,54.06
sh,="600432",退市吉恩,,22.59,19.25,24.45,30.51,25.13,33.98,11.51,57.55
sz,="200022",深赤湾B,,22.58,15.22,28.97,28.38,32.26,16.31,4.12,33.43
sz,="000022",深赤湾A,,22.58,15.22,28.97,28.38,32.26,27.1,6.84,33.43
sh,="600970",中材国际,专用设备,22.38,22.76,15.47,16.44,28.96,46.31,9.81,85.62
sh,="600467",好当家,农牧渔产品,22.24,21.18,11.49,11.18,11.64,40.04,4.49,29.64
sz,="000778",新兴铸管,黑色金属,22.15,19.76,15.53,12.09,19.85,29.11,3.19,49.4
sh,="600307",酒钢宏兴,黑色金属,22.14,10.39,14.17,11.2,24.07,20.4,2.24,45.33
sz,="000602",金马集团,,22.09,25.97,18.28,16.08,24.75,48.38,6.82,11.9
sh,="600817",ST宏盛,房地产租赁,21.85,17.78,23.45,23.33,22.88,38.78,6.28,86.51
sh,="600686",金龙汽车,汽车,21.68,24.94,20.82,24.58,17.05,40.3,6.28,70.09
sz,="000550",江铃汽车,汽车,21.56,16.7,18.4,20.42,16.22,25.73,4.16,39.53
sz,="200550",江铃B,,21.56,16.7,18.4,20.42,16.22,15.12,2.44,39.53
sz,="000027",深圳能源,电力公用事业,21.49,17.77,17.31,17.41,17.73,25.07,3.84,27.12
sh,="600019",宝钢股份,黑色金属,21.46,15.03,20.63,16.84,24.67,12.6,2.3,42.49
sz,="000617",中油资本,其他金融服务,21.31,18.82,30.49,22.66,40.74,52.53,10.65,64.01
sh,="600993",马应龙,中药,21.01,20.17,10.99,12.17,13.4,38.09,5.19,27.17
sz,="000402",金融街,住宅地产开发和管理,20.98,29.63,19.5,21.73,26.47,22.7,5.39,64.4
sz,="000157",中联重科,专用设备,20.58,16.18,19.12,24.53,26.94,32.45,8.37,56.29
sz,="000039",中集集团,通用机械,20.42,17.86,31.5,26.71,37.39,23.52,4.78,47.8
sz,="200039",中集B,,20.42,17.86,31.5,26.71,37.39,15.22,3.09,47.8
sz,="002033",丽江旅游,酒店餐饮与休闲,20.19,34.46,13.49,14.66,21.39,42.68,7.19,15.27
sh,="600997",开滦股份,煤炭,20.14,19.94,19.04,19.29,18.44,28.05,4.84,52.64
sh,="600406",国电南瑞,重型电气设备,20.11,26.47,14.76,14.3,13.36,73.73,9.7,42.07
sz,="000538",云南白药,中药,19.61,20.18,30.91,29.32,27.27,59.6,14.71,47.68
sh,="600016",民生银行,银行,19.46,15.39,19.18,22.35,17.32,31.64,6.49,97.34
sz,="000531",穗恒运A,电力公用事业,19.08,12.25,13.85,17.96,18.48,24.08,4.1,54.08
sh,="600519",贵州茅台,饮料,18.65,13.86,23.99,27.67,21.53,56.89,15.47,36.15
sh,="600880",博瑞传播,传媒,18.36,19.36,18.56,19.87,20.18,43.27,9.74,39.23
sh,="600472",包头铝业,,18.3,13.01,12.7,26.6,11.6,20.02,4.86,58.89
sh,="600497",驰宏锌锗,有色金属,17.6,14.58,19.76,78.34,13.06,24.35,19.53,48.82
sh,="600348",阳泉煤业,煤炭,17.38,27.68,23.94,24.19,16.74,16,3.48,38.74
sh,="600270",外运发展,,17.31,16.37,18.05,22.4,18.47,21.19,3.93,29.21
sz,="000069",华侨城A,酒店餐饮与休闲,17.3,24.16,20.92,20.79,21.02,57.11,10.94,48.49
sh,="600439",瑞贝卡,个人用品,16.97,27.84,15.79,17.71,15.7,77.97,9.22,29.83
sz,="000651",格力电器,家用电器,16.86,16.74,20.04,21.92,18.34,31.45,6.24,80.33
sh,="600418",江淮汽车,汽车,16.76,12.09,24.68,14.3,22.98,25.47,3.09,49.48
sh,="600525",长园集团,电气部件与设备,16.72,20.47,14.45,23.09,14.56,51.73,7.21,45.53
sh,="600177",雅戈尔,住宅地产开发和管理,16.68,19.9,15.79,18.22,18.55,81.52,6.19,60.3
sh,="600011",华能国际,电力公用事业,16.61,14,12.6,13.74,15.08,27.62,3.59,55.9
sh,="600845",宝信软件,计算机软件,16,18.19,15.55,18.3,14.07,70.3,9.97,49.2
sh,="900926",宝信B,,16,18.19,15.55,18.3,14.07,37.82,5.37,49.2
sh,="600087",退市长油,,15.5,14.36,17.11,12.22,13.69,44.23,4.11,48.4
sh,="600475",华光股份,通用机械,14.86,17.05,19.01,22.05,14.91,31.95,4.84,79.77
sz,="000939",*ST凯迪,电力公用事业,14.76,17.12,13.66,13.88,15.11,38.7,4.92,66.9
sh,="600096",云天化,农用化工,14.53,12.08,28.25,21.97,28.53,24.55,4.57,54.13
sh,="600717",天津港,交通基本设施,14.35,17.14,21.01,12.38,10.95,54.5,5.67,29.95
sh,="600583",海油工程,能源设备与服务,14.25,11.25,28.31,27.95,22.53,36.66,9.12,39.99
sh,="600995",文山电力,电力公用事业,14.16,15.26,14.32,13.53,11.4,37.78,4.95,52.71
sh,="600642",申能股份,电力公用事业,14.03,14.92,14.46,16.52,13.39,32.06,4.1,33.22
sh,="600000",浦发银行,银行,13.96,16.67,17.21,19.37,15.17,32.92,4.56,96.41
sh,="600521",华海药业,化学原料药,13.84,51.99,16.25,13,16.25,46.03,4.95,20.28
sh,="600729",重庆百货,百货商店,13.74,15.14,13.34,13.55,13.67,61.7,7.72,64.44
sh,="600879",航天电子,航天航空,13.61,15.23,16.16,17.18,14.77,55.06,8.9,44.57
sz,="000933",神火股份,有色金属,13.58,12.11,29.35,23.8,26.59,22.6,6.56,66.02
sh,="600325",华发股份,住宅地产开发和管理,13.43,15.79,12.38,12.37,10.2,52.06,4.74,78.04
sh,="600795",国电电力,电力公用事业,13.09,11.89,13.19,12.65,14.08,33.48,3.7,67.98
sz,="200002",万科B,,12.98,11.54,19.54,23.51,15.39,27.5,4.39,64.94
sz,="000002",万科A,住宅地产开发和管理,12.98,11.54,19.54,23.51,15.39,31.58,5.05,64.94
sh,="600535",天士力,中药,12.94,22.04,15.52,15.1,14.8,44.5,5.08,47.23
sz,="000731",四川美丰,农用化工,12.92,10.33,22.05,20.76,19.41,19.15,4.37,43.73
sh,="600308",华泰股份,纸类与林业产品,12.88,12.22,14.87,15.73,13.45,24.68,3.8,64.35
sh,="600533",栖霞建设,住宅地产开发和管理,12.85,10.03,23.26,24.37,17.95,29.97,4.66,63.13
sh,="600036",招商银行,银行,12.79,13.07,17.51,18.49,16.1,35.18,5,94.09
sh,="600426",华鲁恒升,农用化工,12.76,12.28,21.58,21.7,18.35,26,3.66,57.63
sz,="000761",本钢板材,黑色金属,12.69,10.46,12.38,13.83,15.37,23.07,2.55,40.41
sz,="200761",本钢板B,,12.69,10.46,12.38,13.83,15.37,12.1,1.34,40.41
sh,="600888",新疆众和,有色金属,12.45,18.56,14.93,16.47,17.11,42.82,9.13,62.79
sh,="600066",宇通客车,汽车,12.45,11.49,15.32,18.22,12.6,37.87,6.84,62.16
sz,="200024",招商局B,,12.42,10.2,11.72,14,10.96,24.85,3.93,68.33
sz,="000024",招商地产,,12.42,10.2,11.72,14,10.96,40.4,6.38,68.33
sz,="000858",五粮液,饮料,12.42,12.26,11.37,14.99,13.21,70.52,10.73,19.73
sh,="600761",安徽合力,专用设备,12.03,10.45,15.61,19.09,14.74,34.54,4.96,24.05
sh,="600518",ST康美,中药,12.03,11.33,13.48,12.12,14.93,59.06,5.2,39.87
sh,="600423",*ST柳化,农用化工,11.97,21.31,13.91,15.17,10.97,31.51,4.29,58.82
sz,="200053",深基地b,,11.92,11.3,16.19,17.5,15.28,23.15,3.74,36.71
sh,="600834",申通地铁,陆运,11.88,10.72,14.26,14.68,10.6,46.3,6.36,16.41
sh,="600547",山东黄金,有色金属,11.83,13.79,13.6,19.43,11.03,56.23,12.72,42.19
sz,="000690",宝新能源,电力公用事业,11.71,10.91,17.14,41.26,10.18,39.52,6.99,43.39
sh,="600675",中华企业,住宅地产开发和管理,11.62,11.51,19.65,20.76,13.38,84.6,6.2,65.76
sh,="600125",铁龙物流,陆运,11.6,11.26,11.32,15.74,10.57,57.09,8.26,53.29
sz,="000739",普洛药业,化学原料药,11.58,12.02,12.46,13.23,11.16,58.25,4.15,64.52
sh,="600408",ST安泰,黑色金属,11.48,18.93,15.28,14.22,25.5,37.17,3.37,63.86
sh,="600383",金地集团,住宅地产开发和管理,11.45,10.28,12.19,15.36,15.72,33.6,5.2,66.76
sz,="000667",美好置业,住宅地产开发和管理,11.26,10.51,14.8,16.17,13.58,62.87,8.28,25.99
sh,="600033",福建高速,交通基本设施,11.16,10.5,13.2,14.83,13.1,25.27,3.69,22.66
sh,="600009",上海机场,交通基本设施,11.15,11.37,16.35,15.6,18.54,43.62,6.39,15.87
sh,="600561",江西长运,陆运,11.02,15.92,12.21,11.91,11.31,40.76,4.26,52.52
sh,="600276",恒瑞医药,化学制剂,10.93,10.09,15.61,17.59,12.94,60.79,10.75,13.79
sh,="600563",法拉电子,电子元器件,10.73,17.88,11.82,13.59,10.82,35.27,4.68,9.32
sh,="600887",伊利股份,食品,10.66,12.12,13.54,14.02,11.91,42.64,5.36,60.83
sh,="600508",上海能源,煤炭,10.62,11.12,20.63,20.22,20.86,24.12,4.4,50.53
sh,="600531",豫光金铅,有色金属,10.57,10.19,12.92,18.8,15.85,24.32,4.28,64.85
sh,="600020",中原高速,交通基本设施,10.42,19.26,13.95,12.79,13.67,23.93,2.91,60.04
sh,="600529",山东药玻,容器与包装,10.32,12.39,10.08,10.62,10.15,40.65,3.05,43.29
sh,="600598",北大荒,农牧渔产品,10.13,12.28,11.77,13.47,11.2,31.08,3.98,58.87

数据来源于：理杏仁网站(lixinger.com)
