﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2008-12-31 累计(%),归属于母公司普通股股东的加权ROE 2007-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2010-12-31 累计(%),归属于母公司普通股股东的加权ROE 2009-12-31 累计(%),PE-TTM(扣非) 2012-04-30 ,PB(不含商誉) 2012-04-30 ,资产负债率 2011-12-31 累计(%)
sz,="300136",信维通信,通信设备,89.91,35.96,11.72,25.76,59.19,37.51,3.71,4.67
sz,="300146",汤臣倍健,食品,82.94,77.18,11.06,60.18,69.42,45.45,6.43,7.29
sz,="002415",海康威视,电子设备及服务,76.27,80.76,23.98,27.35,60.18,30.35,6.52,18.39
sh,="601717",郑煤机,专用设备,75.74,69.55,21.66,29.36,52.8,15.1,3.16,40.42
sz,="002304",洋河股份,饮料,72.51,69.17,49.16,37.13,54.31,29.9,12.69,47.53
sz,="300198",纳川股份,建筑产品,69.37,41.57,10.5,34.41,49.52,26.02,2.14,8.22
sz,="300026",红日药业,中药,68.99,96.73,12.1,10.54,33,33.67,4.51,25.4
sz,="002563",森马服饰,服装与配饰,68.78,54.54,20.35,66.57,84.87,19.91,2.77,14.75
sz,="300177",中海达,通信设备,68.66,82.44,10.01,38.05,40.41,30.65,2.67,12.34
sz,="300183",东软载波,电子设备及服务,65.19,56.54,18.56,74.58,62.62,27.28,4.09,4.87
sz,="300002",神州泰岳,互联网软件与服务,62.99,82.41,13.31,13.64,33.2,20.48,2.54,12.87
sz,="300099",精准信息,专用设备,61.97,67.26,12.68,17.51,45.02,27.51,3.46,7.45
sz,="300203",聚光科技,电子设备及服务,61.37,10.56,13.94,30.98,50.47,41.24,4.28,24.59
sz,="300008",天海防务,商业用品与服务,60.64,86.83,15.35,13.5,23.69,24.57,3.38,17.69
sh,="900948",伊泰B股,,59.49,55.75,37.05,44.53,36.93,9.62,2.74,36.31
sz,="002353",杰瑞股份,能源设备与服务,58.27,51.37,17.71,14.11,70.14,44.71,6.98,14.97
sz,="300039",上海凯宝,中药,57.47,81.48,13.15,10.43,48.06,30.09,4.2,8.12
sz,="002294",信立泰,化学制剂,57.2,61.96,20.52,20.62,32.86,25.09,4.64,12.7
sz,="002444",巨星科技,通用机械,57.09,27.32,10.67,18.56,46.21,22.25,1.89,17.09
sz,="300133",华策影视,传媒,53.96,63.16,12.45,25.23,45.4,34.43,4.12,11.21
sz,="300102",乾照光电,半导体,53.25,84.85,10.55,19.17,38.58,24.9,2.33,4.6
sh,="601101",昊华能源,煤炭,52.07,37.41,21.94,20.09,28.2,15.58,3.07,28.16
sz,="300124",汇川技术,电气部件与设备,50.84,94.23,14.3,27.87,60.29,29.7,3.72,5.96
sz,="002419",天虹股份,百货商店,50.37,66.61,16.7,21.4,41.7,22.48,3.18,58.6
sz,="300195",长荣股份,专用设备,49.69,47.94,16.09,44.49,43.41,21.89,2.76,16.02
sz,="002308",威创股份,电子设备及服务,48.81,83.08,14.72,12.69,37.74,24.4,3.22,12.56
sz,="002503",搜于特,服装与配饰,47.88,40.85,10.08,28.11,40.56,26.06,2.59,17.48
sz,="002315",焦点科技,互联网软件与服务,47.54,100.23,10.36,10.16,26.77,31.95,2.64,12.68
sz,="000933",神火股份,有色金属,46.62,51.7,23.47,28.32,18.64,16.33,3.28,76.96
sz,="002606",大连电瓷,电气部件与设备,46.36,259.66,13.39,35.18,81.64,97.7,2.59,45.64
sz,="300022",吉峰科技,专营零售,45.98,48.1,11.61,12.12,27.87,45.7,4.93,74.69
sz,="300188",美亚柏科,信息技术服务,45.85,46.8,11.88,45.23,43.31,38.25,3.25,17.93
sz,="002410",广联达,计算机软件,45.68,58.74,15.62,14.99,51.36,28.49,5.65,9.56
sz,="300197",铁汉生态,建筑与工程,45.64,44.24,13.37,39.29,51.62,32.66,3.5,11.89
sz,="300003",乐普医疗,医疗保健设备与用品,45.44,59.27,21.81,21.66,35,25.07,5.41,4.15
sh,="601877",正泰电器,电气部件与设备,44.57,55.04,18.39,17.16,44.31,18.65,3.74,45.94
sz,="000983",西山煤电,煤炭,44.43,19.48,21.18,23.37,23.99,19.55,3.6,57.22
sz,="002477",雏鹰退,农牧渔产品,44.43,27.56,24.5,17.6,31.96,19.09,4.82,23.81
sz,="300171",东富龙,专用设备,44.28,40.97,11.85,53.27,44.05,24.74,2.57,17.46
sz,="002478",常宝股份,黑色金属,44.01,30.13,10.1,14.45,23.65,21.42,2.09,13.89
sz,="002483",润邦股份,专用设备,43.45,47.32,10.37,26.57,59.15,24.82,2.22,21.3
sz,="002546",新联电子,电气部件与设备,43.2,46.03,14.16,37.69,32.06,21.19,2.89,11.01
sz,="002293",罗莱生活,纺织品,43.09,49.58,24.18,17.32,24.64,24.26,5.19,23.35
sz,="002408",齐翔腾达,化学原料,42.34,50.47,18.21,25.37,41.9,21.53,3.18,4.36
sz,="002269",美邦服饰,服装与配饰,42,75,33,24,22,20.46,5.32,53.55
sz,="300237",美晨生态,建筑与工程,41.85,64.87,13.32,54.09,56.28,26.18,1.77,36.21
sz,="000937",冀中能源,煤炭,41.76,16.79,22.96,22.38,18.32,16.02,3.07,57.25
sh,="601699",潞安环能,煤炭,41.73,23.87,28.65,26.05,21.22,16.27,4.25,54.53
sz,="300105",龙源技术,电气部件与设备,41.64,61.96,11.03,14.83,35.97,37.28,3.81,22.82
sz,="000568",泸州老窖,饮料,41.48,31.68,41.68,41.21,38.78,18.48,7.19,42.1
sz,="300186",大华农,,41.07,48.86,10.07,28.51,31.92,22.15,1.96,5.71
sz,="002538",司尔特,农用化工,41.05,35.73,12.65,30.66,24.89,21.49,2.6,29.12
sz,="002454",松芝股份,汽车零配件与设备,40.48,44.55,12.97,22.67,38.55,19.58,1.8,27.03
sh,="601010",文峰股份,百货商店,40.05,42.32,18.59,37.09,38.81,20.15,2.25,37.25
sh,="601933",永辉超市,食品与主要用品零售,40.04,69.71,11.68,26.5,27.29,62.11,5.89,56.98
sz,="300019",硅宝科技,化学原料,39.26,33.65,11.54,10.64,26.01,27.02,2.85,10.79
sz,="000718",苏宁环球,住宅地产开发和管理,39.25,30.58,20.53,23.99,31.29,18.79,3.42,74.77
