﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2003-12-31 累计(%),归属于母公司普通股股东的加权ROE 2007-12-31 累计(%),归属于母公司普通股股东的加权ROE 2005-12-31 累计(%),归属于母公司普通股股东的加权ROE 2006-12-31 累计(%),归属于母公司普通股股东的加权ROE 2004-12-31 累计(%),PE-TTM(扣非) 2008-04-30 ,PB(不含商誉) 2008-04-30 ,资产负债率 2007-12-31 累计(%)
sz,="001696",宗申动力,汽车,58.74,34.09,32.08,30.22,37.25,25.87,5.15,33.82
sz,="002081",金螳螂,建筑与工程,54.39,16.71,36.22,31.8,37.8,42.62,6.67,63.43
sz,="002073",软控股份,专用设备,53.9,15.06,30.01,22.58,37.71,42.65,5.84,44.26
sz,="002024",苏宁易购,专营零售,49.42,37.66,35.04,33.87,36,45,16.74,70.25
sz,="002095",生意宝,互联网软件与服务,46.88,12.87,32.24,25.94,43.59,76.34,9.2,11.7
sz,="002084",海鸥住工,耐用家居用品,46.46,14.69,26.59,38.18,36.59,30.12,3.09,45.85
sz,="002032",苏泊尔,耐用家居用品,44.95,15.94,10.06,13.88,17,39.8,4.3,23.61
sz,="002078",太阳纸业,纸类与林业产品,43.23,17.21,32.64,27.18,32.4,34.29,5.08,58.61
sz,="002065",东华软件,计算机软件,43.03,15.73,34.16,21.88,32.86,47.43,7.07,41.17
sz,="002052",同洲电子,通信设备,42.87,15.86,37.11,15.6,35.64,34.59,4.87,62.09
sz,="002097",山河智能,专用设备,42.1,24.81,26.39,39.97,25.03,55.45,7.58,53.11
sz,="002022",科华生物,生物科技,38.42,28.64,17.31,21.26,21.32,61.25,18.04,20.59
sh,="600271",航天信息,电子设备及服务,37.41,19.08,13.39,16.68,12.7,40.45,6.69,28.9
sh,="600022",山东钢铁,黑色金属,36.79,27.59,23.14,20.97,32.27,13.38,3.81,67.57
sz,="002028",思源电气,重型电气设备,36.48,22.53,20.99,29.64,22.14,45.94,5.63,34.54
sz,="002117",东港股份,商业用品与服务,33.9,11.25,31.33,29.01,27.69,25.94,3.39,26.62
sh,="600143",金发科技,化学制品,33.74,22.2,18.41,28.08,18.52,47.85,6.27,55.44
sh,="600410",华胜天成,信息技术服务,33.38,18.88,15.79,19.87,17.79,31.4,4.06,48.39
sz,="002004",华邦健康,农用化工,33.1,36.47,12.98,13.37,17.93,20.04,4,32.86
sz,="002008",大族激光,电子设备及服务,32.33,22.77,14.17,18.85,17.38,49.43,8.51,52.77
sz,="002014",永新股份,容器与包装,32.17,12.07,13.02,13.55,18.69,29.88,2.77,30.26
sz,="000088",盐田港,交通基本设施,32.12,19.18,19.83,21.39,20.06,22.74,3.59,4.44
sz,="002130",沃尔核材,电子元器件,31.97,17.47,39.56,38.82,39.97,61.54,5.94,28.05
sz,="002007",华兰生物,生物科技,31.71,19.75,10.28,14.84,13.13,75.06,13.13,30.11
sz,="002029",七匹狼,服装与配饰,30.98,17.59,11.5,15.16,15.9,47.21,5.16,26.31
sh,="600660",福耀玻璃,汽车零配件与设备,30.9,28.7,19.5,24.1,23.5,28.21,8.34,62.73
sz,="002010",传化智联,物流,30.76,15.44,17.84,17.22,20.33,32.49,4.03,34.35
sz,="002092",中泰化学,化学原料,29.71,17.01,31.68,22.41,49.28,31.68,3.26,42.94
sz,="002115",三维通信,通信设备,29.44,14.76,28.27,25.66,31.34,41.08,5.71,49.18
sz,="002090",金智科技,重型电气设备,29.2,12.39,30.52,27.72,26.41,32.53,3.65,37.81
sz,="002030",达安基因,生物科技,28.54,12.26,10.04,10.4,15.7,62,6.39,27.41
sz,="002107",沃华医药,中药,28.25,11.13,29.36,24.84,32.86,48.25,5.18,24.38
sz,="002118",紫鑫药业,中药,28.16,28.69,26.97,23.87,31.38,43,6.46,28.72
sz,="002054",德美化工,化学原料,27.28,14.98,15.45,14.1,24.45,35.89,4.25,45.38
sz,="002070",众和退,,27.2,10.14,22.55,16.6,26.66,35.82,3.53,62.27
sz,="002093",国脉科技,通信技术服务,26.98,16.76,20.75,19.23,23.47,76.92,13.92,27.37
sh,="600231",凌钢股份,黑色金属,26.62,15.02,14,14.16,22.46,20.37,2.5,20.17
sz,="002063",远光软件,计算机软件,26.59,16.8,22.6,19.73,24.28,32.08,5.05,13.18
sh,="600309",万华化学,化学原料,26.2,45.73,41.13,38.81,36.2,30.2,12.12,41.56
sz,="002021",*ST中捷,专用设备,26.09,12.28,13.21,15.29,14.09,72.9,2.26,41.01
sz,="002074",国轩高科,电气部件与设备,26.02,10.54,12.38,14.82,23.33,46.83,4.89,44.16
sz,="002046",轴研科技,通用机械,26,11.33,13,10.95,23,34.29,3.41,15.24
sh,="601166",兴业银行,银行,25.84,25.34,22.25,25.87,20.57,21.1,4.85,95.43
sh,="600978",宜华生活,耐用家居用品,25.63,14.24,13.41,19.31,25.92,27.68,3.39,40.41
sz,="002055",得润电子,电子设备及服务,25.6,13.47,23.52,16.85,27.46,37.58,4.28,56.53
sz,="000528",柳工,专用设备,25.53,26.69,13,20.53,18.96,23.39,5.73,45.07
sz,="002050",三花智控,通用机械,25.51,11.57,22.22,11.26,31.41,40.78,5.43,47.67
sz,="002111",威海广泰,专用设备,25.43,17.29,32.55,32.83,30.58,52.01,8.77,38.91
sz,="002069",獐子岛,农牧渔产品,25.38,15.32,62.85,34.62,43.48,55.14,6.52,26.45
sz,="002031",巨轮智能,专用设备,25.29,14.81,12,12.86,20.65,27.03,3.06,46.99
sh,="600971",恒源煤电,煤炭,25.27,15.69,22.54,20.99,33.19,33.2,6.16,72.08
sz,="002015",协鑫能科,纺织品,25.14,14.49,10.31,11.37,14.16,43.16,4.56,59.14
sh,="600352",浙江龙盛,化学制品,25.09,26.09,17.65,18.38,18.05,21.88,3.39,34.3
sz,="002088",鲁阳节能,非金属材料与制品,24.55,22.42,38.96,33.8,42.35,31.2,6.17,27.33
sh,="600282",南钢股份,黑色金属,24.2,26.46,12.21,10.79,22.31,15.29,3.2,60.25
sz,="002051",中工国际,建筑与工程,24.11,12.38,17.93,13.41,19.07,37.65,3.48,57.58
sz,="002083",孚日股份,纺织品,24.05,11.81,12.11,21,21.62,51.67,2.91,58.92
sh,="601699",潞安环能,煤炭,23.6,23.87,47.84,38.57,35.17,38.36,9.4,54.26
sz,="002082",万邦德,有色金属,23.22,16.67,16.05,18.69,22.99,35.82,3.04,55.25
sz,="002061",浙江交科,建筑与工程,23.03,13.62,15.13,25.84,22.43,28.07,3.2,49.98
sh,="600432",退市吉恩,,22.59,54.23,24.45,30.51,25.13,25.24,7.26,36.82
sz,="200022",深赤湾B,,22.58,27.83,28.97,28.38,32.26,10.94,2.74,42.38
sz,="000022",深赤湾A,,22.58,27.83,28.97,28.38,32.26,17.21,4.32,42.38
sh,="600970",中材国际,专用设备,22.38,28.23,15.47,16.44,28.96,44.79,9.69,84.85
sh,="600467",好当家,农牧渔产品,22.24,20.1,11.49,11.18,11.64,43.34,8.05,25.25
