﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2008-12-31 累计(%),归属于母公司普通股股东的加权ROE 2007-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2006-12-31 累计(%),归属于母公司普通股股东的加权ROE 2009-12-31 累计(%),PE-TTM(扣非) 2011-04-30 ,PB(不含商誉) 2011-04-30 ,资产负债率 2010-12-31 累计(%)
sz,="002304",洋河股份,饮料,72.51,69.17,49.16,61.62,54.31,39.74,13.53,35.65
sz,="300026",红日药业,中药,68.99,96.73,12.1,41.84,33,37.78,3.96,14.23
sz,="300002",神州泰岳,互联网软件与服务,62.99,82.41,13.31,35.34,33.2,38.45,5.26,6.9
sz,="300008",天海防务,商业用品与服务,60.64,86.83,15.35,64,23.69,44.45,5.82,14.44
sh,="900948",伊泰B股,,59.49,55.75,37.05,37.27,36.93,12.84,5.28,41.21
sz,="002353",杰瑞股份,能源设备与服务,58.27,51.37,17.71,41.11,70.14,49.35,6.45,6.1
sz,="300039",上海凯宝,中药,57.47,81.48,13.15,72.49,48.06,53.41,5.57,9.73
sz,="002294",信立泰,化学制剂,57.2,61.96,20.52,37.6,32.86,37.66,7.1,14.23
sz,="002317",众生药业,中药,52.96,28.72,10.59,26.1,49.06,34.88,3.23,6.45
sz,="002308",威创股份,电子设备及服务,48.81,83.08,14.72,85.11,37.74,35.76,4.28,11.57
sz,="002315",焦点科技,互联网软件与服务,47.54,100.23,10.36,82.98,26.77,43.54,4.01,11.92
sz,="000933",神火股份,有色金属,46.62,51.7,23.47,23.8,18.64,25.57,5.79,75.83
sz,="300043",星辉娱乐,计算机软件,46.52,44.21,11.17,36.99,46.58,42.97,3.64,6.92
sz,="300022",吉峰科技,专营零售,45.98,48.1,11.61,10.43,27.87,74.93,9.17,68.54
sz,="300003",乐普医疗,医疗保健设备与用品,45.44,59.27,21.81,75.84,35,41.43,9.96,7.21
sh,="601877",正泰电器,电气部件与设备,44.57,55.04,18.39,51.84,44.31,32.65,4.65,29.3
sz,="300007",汉威科技,电子设备及服务,44.46,45.9,11.83,30.17,20.08,65.86,4.31,10.7
sz,="000983",西山煤电,煤炭,44.43,19.48,21.18,20.13,23.99,28.82,5.72,51.33
sz,="002293",罗莱生活,纺织品,43.09,49.58,24.18,49,24.64,37.56,6.44,21.3
sz,="002269",美邦服饰,服装与配饰,42,75,33,32,22,35.36,8.84,61.21
sz,="000937",冀中能源,煤炭,41.76,16.79,22.96,15.79,18.32,23.1,4.76,50.57
sh,="601699",潞安环能,煤炭,41.73,23.87,28.65,38.57,21.22,20.65,5.75,56.56
sz,="000568",泸州老窖,饮料,41.48,31.68,41.68,19.38,38.78,26.24,9.86,30.7
sz,="002320",海峡股份,水上运输,39.92,36.42,11.28,25.83,37.78,34.35,3.32,2.12
sz,="002331",皖通科技,信息技术服务,39.46,43.67,10.51,40.21,34.46,43.76,3.89,14
sz,="300019",硅宝科技,化学原料,39.26,33.65,11.54,36,26.01,47.81,4.19,10.53
sz,="000718",苏宁环球,住宅地产开发和管理,39.25,30.58,20.53,16.67,31.29,18.32,3.89,75.31
sz,="300012",华测检测,商业用品与服务,39.1,58.26,12.83,77.09,23.76,47.81,4.18,6.3
sh,="600519",贵州茅台,饮料,39.01,39.3,40.39,27.67,33.55,30.37,8.48,27.51
sz,="300025",华星创业,通信技术服务,38.44,58.78,12.48,76.41,26.77,48.96,9.4,21.93
sz,="002310",东方园林,建筑与工程,38.37,37.43,29.63,36.05,28.98,55.4,10.27,32.92
sz,="300010",立思辰,信息技术服务,38.35,55.5,11.48,55.95,19.46,50.39,5.38,22.76
sz,="200869",张裕B,,38.26,30.98,43.18,22.13,41.17,24.38,8.67,33.21
sz,="000869",张裕A,饮料,38.26,30.98,43.18,22.13,41.17,31.56,11.17,33.21
sh,="600150",中国船舶,专用设备,38.22,50.54,13.33,28.8,19.3,18.67,2.79,66.03
sz,="002242",九阳股份,家用电器,37.53,68.22,18.07,45.37,24.98,18.89,3.85,30.08
sh,="601001",大同煤业,煤炭,37.26,13.78,11.2,20.34,20.2,26.17,3.29,26.2
sh,="600123",兰花科创,煤炭,37.2,18.99,22.93,30.5,27.5,16.14,3.52,47.52
sh,="600000",浦发银行,银行,36.71,20.1,20.07,19.37,25.86,9.78,1.59,94.37
sz,="000655",金岭矿业,黑色金属,36.52,28.99,20.99,22.56,14.94,23.34,5.49,12.39
sz,="000157",中联重科,专用设备,35.91,45,25.16,24.53,38.12,19.56,3.56,56.39
sh,="600309",万华化学,化学原料,35.74,45.73,27.87,38.81,22.56,29.57,6.39,44.72
sz,="002285",世联行,其他房地产服务,34.95,67.33,12.54,90.36,29.39,28.87,5.13,23.8
sz,="002327",富安娜,纺织品,34.68,41.31,17.45,35.56,32.59,34.69,4.44,22.9
