﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2010-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2015-04-30 ,PB(不含商誉) 2015-04-30 ,资产负债率 2014-12-31 累计(%)
sz,="000921",海信家电,家用电器,58.16,61.95,33.72,293.26,21.65,33.19,4.15,70.3
sz,="300386",飞天诚信,计算机软件,49.5,39.12,30.92,36.22,27.87,61.92,10.77,13.35
sz,="002745",木林森,光电子器件,49.47,27.09,23.18,37.99,34.65,46.65,8.18,71.18
sz,="000049",德赛电池,电子设备及服务,45.62,40.09,45.41,41.24,37.05,37.32,11.34,80.36
sh,="603288",海天味业,食品,45,38,35,29,33,41.67,15.87,31.93
sh,="603699",纽威股份,通用机械,40.3,29.36,20.71,12.19,25.72,35.22,7.54,39.85
sh,="600519",贵州茅台,饮料,39.43,45,40.39,30.91,31.96,17.8,4.98,16.03
sz,="300389",艾比森,光电子器件,38.99,47.45,43.96,62.49,31.17,52.31,10.57,40.37
sz,="300360",炬华科技,电气部件与设备,38.57,42.96,38.78,26.93,28.62,34.41,8.4,42.07
sz,="000540",中天金融,住宅地产开发和管理,37.79,18.53,26.89,38.08,38.79,34.67,7.68,82.41
sh,="600816",安信信托,投资信托,37.4,18.67,46.05,33.12,76.89,16.88,8.25,38.91
sz,="000848",承德露露,饮料,36.53,28.06,26.25,23.92,38.13,30.84,8.45,27.62
sz,="300382",斯莱克,专用设备,35.97,50.93,56.49,53.93,15.18,75.77,9.42,21.62
sz,="002718",友邦吊顶,建筑产品,35.83,34,48.64,72.52,22.24,45.36,8.95,9.93
sz,="000651",格力电器,家用电器,35.77,31.38,34,36.51,35.23,12.39,3.65,71.11
sz,="002236",大华股份,电子设备及服务,35.09,38.51,28.36,26.4,24.44,42.47,8.14,34.78
sz,="300358",楚天科技,专用设备,34.8,31.15,36.44,57.47,21.04,66.71,9.8,41.99
sh,="603168",莎普爱思,化学制剂,33.62,38.42,39.37,32.84,23.93,63.13,10.41,12.55
sh,="601633",长城汽车,汽车,33.41,29.88,27.83,30.76,26.35,19.44,4.45,45.36
sh,="603555",贵人鸟,服装与配饰,33.34,50.26,55.11,76.1,14.56,100.52,12.36,46.84
sh,="603806",福斯特,光电子器件,33.32,32.41,60.39,120.7,17.7,57.63,5.8,10.75
