﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2008-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2011-12-31 累计(%),归属于母公司普通股股东的加权ROE 2010-12-31 累计(%),归属于母公司普通股股东的加权ROE 2009-12-31 累计(%),PE-TTM(扣非) 2013-04-30 ,PB(不含商誉) 2013-04-30 ,资产负债率 2012-12-31 累计(%)
sz,="002653",海思科,化学制剂,166.16,29.84,51.09,118.48,87.95,48.2,11.52,12.25
sz,="300316",晶盛机电,专用设备,146.86,13.38,87.42,67.48,49.98,26.05,1.54,9.19
sz,="300326",凯利泰,医疗保健设备与用品,135.11,20.04,47.18,62,73.89,54.36,5.94,5.39
sz,="002612",朗姿股份,服装与配饰,129.54,10.59,22.47,57.01,69.9,20.94,2.09,13.32
sh,="600139",西部资源,汽车,118,12.32,32.82,33.64,53.5,30.19,3.23,13.17
sz,="002001",新和成,化学原料药,95.41,14.73,22.5,27.4,44.37,15.32,1.97,22.75
sz,="300146",汤臣倍健,食品,82.94,15.45,11.06,60.18,69.42,52.56,8.67,8.44
sz,="002415",海康威视,电子设备及服务,76.27,27.7,23.98,27.35,60.18,32.89,8.12,18.11
sh,="601717",郑煤机,专用设备,75.74,23.54,21.66,29.36,52.8,8.76,1.4,28.02
sh,="601515",东风股份,商业用品与服务,75.7,31.29,55.2,59.05,61.14,11.65,3.09,17.09
sh,="600216",浙江医药,化学原料药,72.96,16.7,24.71,34.77,54.49,14.16,1.65,12.2
sz,="002572",索菲亚,耐用家居用品,72.72,12.23,13.96,57.25,68.88,39.16,4.58,13.67
sz,="002304",洋河股份,饮料,72.51,50.53,49.16,37.13,54.31,10.22,3.76,37.82
sz,="300198",纳川股份,建筑产品,69.37,10.07,10.5,34.41,49.52,28.32,2.78,9.6
sh,="601566",九牧王,服装与配饰,69.31,16.08,19.49,49.89,55.23,13.49,1.89,14.03
sz,="300026",红日药业,中药,68.99,20.65,12.1,10.54,33,44.81,8.02,23.04
sz,="300275",梅安森,电子设备及服务,68.5,16.12,32.52,53.56,52.53,26.88,3.83,8.78
sz,="300270",中威电子,电子设备及服务,65.4,10.05,24.63,51.71,51.08,48.33,4.92,8
sz,="300183",东软载波,电子设备及服务,65.19,18.04,18.56,74.58,62.62,18.24,3.02,4.34
