﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2018-04-30 ,PB(不含商誉) 2018-04-30 ,资产负债率 2017-12-31 累计(%)
sh,="603895",天永智能,专用设备,149.11,23.78,31.84,40.13,51.92,77.59,5.82,57.8
sh,="600338",西藏珠峰,有色金属,137.33,71.24,66.21,22.62,26.31,19.49,10.96,47.33
sh,="603258",电魂网络,互联网软件与服务,119.64,10.46,37.06,54.6,75.7,37.04,3.65,15.48
sz,="002928",华夏航空,航空运输,103.57,38.5,55.56,68.56,63.34,37.71,6.84,79.03
sh,="603387",基蛋生物,生物科技,101.91,28.7,43.15,49.9,63.25,50.13,8.01,9.39
sh,="603444",吉比特,计算机软件,101.85,29.58,78.9,43.74,67.72,19.53,4.31,21.86
sh,="603156",养元饮品,饮料,101.74,38.77,46.73,57.77,62.51,19.92,3.89,34.43
sz,="002845",同兴达,电子元器件,92.75,17.52,23.49,21.2,27.38,49.84,4.62,68.15
sz,="300620",光库科技,通信设备,89.46,15.3,28.79,25.05,51.77,69.27,7.24,15.23
sz,="300590",移为通信,通信设备,85.33,13.79,57.19,69.68,88.75,66.39,6.01,12.71
sz,="300685",艾德生物,化学制剂,77.98,20.54,24.43,10.55,35.17,113,14.28,6.57
sz,="300558",贝达药业,化学制剂,76.99,12.98,32.88,48.72,62.66,145.2,16.48,25.48
sh,="603283",赛腾股份,专用设备,72.84,27.4,16.35,60.09,140.81,36.01,6.87,37.32
sh,="603801",志邦家居,耐用家居用品,63.67,20.01,30.49,28.25,47.47,42.1,5.94,35.14
sh,="603229",奥翔药业,化学原料药,63.35,12.43,26.45,40.72,45.15,56.29,5.08,23.82
sh,="603377",东方时尚,其他消费者服务,62.95,14.03,16.98,47.86,60.32,71.28,9.2,30.59
sz,="002841",视源股份,电子元器件,62.22,31.46,74.94,54.65,52.11,49.32,13.19,49.08
sh,="603516",淳中科技,电子设备及服务,61.91,35.01,42.86,49.26,46.94,50.35,7.22,11.89
sz,="300613",富瀚微,电子元器件,61.88,13.36,52.71,28.79,46.85,90.14,7.64,12.15
sh,="603421",鼎信通讯,通信设备,59.81,15.1,22.8,28.83,54.99,40.58,4.85,21.88
sz,="300559",佳发教育,计算机软件,59.37,11.98,19.45,26.66,39.84,55.61,6.65,10.14
sh,="603160",汇顶科技,电子元器件,58.38,28.79,47.13,35.52,51.23,61.13,12.32,21.1
sz,="000921",海信家电,家用电器,58.16,35.12,24.23,15.49,21.65,13.88,2.14,67.62
sz,="002925",盈趣科技,电子设备及服务,57.29,80.97,72.25,50.88,64.07,31.12,8.55,34.54
sz,="002901",大博医疗,医疗保健设备与用品,56.63,37.76,41.87,54.42,47.8,61.04,13.25,10.79
sz,="002853",皮阿诺,耐用家居用品,56.14,12.81,25.75,24.7,41.54,42.15,4.38,29.18
sz,="300681",英搏尔,电气部件与设备,55.74,27.17,27.91,90.96,128.97,53,6.35,29.05
sz,="300703",创源文化,休闲设备与用品,54.76,21.06,48.8,31.64,28.95,84.8,3.9,27.76
sh,="603303",得邦照明,家用电器,54.25,15.47,28.55,39.97,54.82,33.94,1.86,31.95
sh,="603868",飞科电器,家用电器,53.99,38.42,34.3,55.23,53.35,28.7,8.43,25.97
sz,="300656",民德电子,电子设备及服务,53.71,13.03,32.32,59.56,45.02,79.88,6.65,4.77
sh,="603816",顾家家居,耐用家居用品,52.41,22.26,37.25,49.88,49.43,42.79,6.53,38.63
sz,="300679",电连技术,电子元器件,51.67,18.98,41.63,37.34,50.28,28.86,2.83,8.23
sh,="603881",数据港,信息技术服务,51.66,14.18,20.78,23.95,27.78,77.11,9.39,47
sz,="300628",亿联网络,通信设备,51.13,26.67,71.36,74.51,59.41,37.25,7.01,4.92
sz,="300607",拓斯达,专用设备,50.95,21.21,24.15,22.93,30.51,62.58,10.69,34.12
sz,="300484",蓝海华腾,电气部件与设备,50.41,19.57,32.02,31.97,30.48,39.19,4.48,36.99
sz,="300707",威唐工业,专用设备,50.24,24.1,24.86,27.19,34.85,48.19,7.79,24.75
sz,="002880",卫光生物,生物科技,49.53,18.54,34.3,35.92,37.74,38.74,4.3,12.48
sz,="002745",木林森,光电子器件,49.47,12.06,11.64,10.98,34.65,51.76,3.39,68.64
sz,="300561",汇金科技,计算机软件,49.31,12.37,27.99,34.38,38.59,77.87,5.28,11.23
sh,="603848",好太太,耐用家居用品,49.07,27.95,28.42,34.01,41.47,45.59,7.58,20.32
sh,="603098",森特股份,建筑产品,48.1,12.36,20.66,19.63,35.23,34.04,3.77,39.6
sz,="300418",昆仑万维,计算机软件,47.53,16.39,18.31,16.67,35.8,25.2,4.22,26.52
sz,="002898",赛隆药业,化学制剂,47.53,17.84,25.65,36.79,22.82,58.9,5.77,13.49
sz,="300567",精测电子,电子设备及服务,47.47,21.08,33.71,37.57,34.74,75.95,15.23,32.19
sh,="600988",赤峰黄金,有色金属,47.23,10.51,13.94,15.63,32.24,26.98,4.05,41.51
sh,="603380",易德龙,电子设备及服务,47.02,21.12,42.53,45.67,65.02,33.58,4.73,25.97
sz,="300738",奥飞数据,互联网软件与服务,46.87,26.58,35.4,105.01,48.69,69.5,7.33,32.59
sz,="300648",星云股份,电子设备及服务,46.82,15.35,25.66,20.91,23.83,67.76,6.91,20.32
sh,="603776",永安行,商业用品与服务,46.75,52,23.86,24.21,39.85,44.76,3.33,34.72
sh,="603429",集友股份,商业用品与服务,46.34,21.41,29.94,29.97,34.59,68.35,11.06,29.61
sh,="603378",亚士创能,建筑材料,46.31,14.13,22.98,28.21,32.3,39.65,3.14,37.58
sh,="603501",韦尔股份,半导体,46.27,13.39,19.53,19.86,24.52,141.23,15.46,57.85
sh,="603233",大参林,药品流通,46.23,24.28,37.96,51.71,54.33,52.34,9.6,51.87
sh,="603277",银都股份,通用机械,46.21,27.15,46.45,40.64,45.32,32.79,3.55,16.91
sh,="603326",我乐家居,耐用家居用品,46.08,16.03,25.32,26.8,32.78,35.82,3.58,35.43
sh,="603676",卫信康,化学制剂,46.06,16.02,25.01,32.93,38.72,107.1,8.38,15.6
sz,="000049",德赛电池,电子设备及服务,45.62,23.63,24.6,27.75,37.05,21.88,4.35,76.18
sz,="002908",德生科技,信息技术服务,45.51,13.8,14.16,32.81,45.97,82.44,7.36,19.73
sz,="300625",三雄极光,家用电器,45.31,14.09,36.64,29.81,39.17,31.11,2.92,19.81
sh,="603288",海天味业,食品,45,31.12,32,32,33,46.65,15.75,27.99
sh,="603228",景旺电子,电子元器件,44.8,21.5,34.39,36.46,36.78,30.43,5.85,31.42
sh,="603595",东尼电子,电子元器件,44.77,37.32,28.83,40.52,53.03,46.2,12.81,41.06
sh,="603157",拉夏贝尔,服装与配饰,44.68,13.59,15.46,19.56,30.79,22.09,2.17,48.31
sz,="300508",维宏股份,计算机软件,44.3,16.99,12.64,30.29,43.65,106.61,6.82,8.42
sh,="600340",华夏幸福,住宅地产开发和管理,44.3,31.4,29.54,42.07,42.83,10.38,3.12,81.1
sz,="300731",科创新源,非金属材料与制品,44.28,28.53,31.46,29.98,64.17,48.69,5.49,9.85
sz,="300624",万兴科技,计算机软件,44.16,27.71,29.87,28,32.46,124.76,15.36,21.13
sz,="000603",盛达资源,有色金属,43.91,10.65,11.8,31.3,40.69,24.78,3.1,17.6
sz,="002749",国光股份,农用化工,43.23,22.1,16.24,19.02,34.38,28.8,6.09,13.12
sz,="002833",弘亚数控,专用设备,43.05,28.67,42.52,30.03,51.23,34.15,7.3,15.92
sz,="300519",新光药业,中药,42.92,15.71,25.05,44.38,47.33,33.47,4.57,8.93
sz,="300693",盛弘股份,电气部件与设备,42.68,12.61,29.5,32.95,38.45,94.48,4.8,27.06
sh,="603658",安图生物,生物科技,42.35,27.68,32.22,46.36,49.97,60.99,16.99,22.76
sh,="600566",济川药业,中药,42.35,31.78,29.95,28.57,26.2,30.32,8.91,33.93
sz,="002837",英维克,专用设备,42.27,13.5,28.56,37.34,33.64,59.95,5.67,46.05
sz,="300393",中来股份,电子元器件,41.73,23.74,18.51,13.78,27.96,46.95,3.24,57.19
sh,="603458",勘设股份,商业用品与服务,41.58,26.52,21.43,16.56,27.83,21.5,3.41,43.46
sz,="300432",富临精工,汽车零配件与设备,41.31,10.36,23.73,23.33,41.08,21.09,2.48,26.79
sz,="300616",尚品宅配,耐用家居用品,41.31,18,35.2,25.79,32.03,70.18,8.62,42.63
sh,="603043",广州酒家,食品,40.93,26.35,30.66,30.46,35.65,22.25,4.32,19.35
sz,="300439",美康生物,生物科技,40.7,13.84,13.04,16.63,38.79,41.3,5.5,44.03
sz,="300571",平治信息,电信增值服务,40.6,33.11,35.17,25.62,26.22,55.62,19.74,50.06
sz,="300605",恒锋信息,信息技术服务,40.55,10.52,17.7,20,23.34,59.99,5.38,31.72
sz,="300446",乐凯新材,化学制品,40.44,19.77,23.54,28.49,36.32,25.69,4.21,7.8
sz,="002899",英派斯,休闲设备与用品,40.39,14.3,21.42,23.78,34.04,48.97,3.4,22.08
sz,="300406",九强生物,生物科技,39.98,19.06,21.42,22.89,33.35,33.25,7.19,13.98
sh,="603080",新疆火炬,燃气公用事业,39.91,17.56,30.8,42.01,50.76,54.3,9.48,14.18
sh,="600519",贵州茅台,饮料,39.43,32.95,24.44,26.23,31.96,30.57,9.1,28.67
sh,="603669",灵康药业,化学制剂,39.1,13.07,13.55,19.45,35.18,44.72,3.93,21.34
sz,="300389",艾比森,光电子器件,38.99,10.51,16.56,15.07,31.17,57.38,5.32,41.77
sz,="300529",健帆生物,医疗保健设备与用品,38.88,22.21,24.08,39.58,41.35,70.43,12.87,18.26
